架次,服务区,到达（s）,交接完成（s）,交付货箱
Q2T001,S006,725.0711912153349,935.0711912153349,S006-MED-01;S006-WAT-01
Q2T002,S010,894.4634512744026,1104.4634512744026,S010-MED-01;S010-WAT-01
Q2T003,S014,1062.037842174011,1272.037842174011,S014-MED-01;S014-WAT-01
Q2T004,S007,885.7355215683076,1125.7355215683076,S007-FOD-01;S007-MED-01;S007-WAT-01
Q2T005,S013,822.7338040630028,1062.733804063003,S013-FOD-01;S013-MED-01;S013-WAT-01
Q2T006,S001,816.8983708492726,1248.8983708492726,S001-FOD-01;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-05;S001-WAT-07;S001-WAT-08
Q2T007,S001,786.8983708492726,1182.8983708492726,S001-FOD-02;S001-FOD-03;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-06
Q2T008,S006,2308.503684335527,2632.503684335527,S006-FOD-01;S006-HYG-01;S006-WAT-02;S006-WAT-03
Q2T008,S007,3031.425103776223,3283.425103776223,S007-HYG-01;S007-WAT-02
Q2T009,S009,2362.3808367328943,2542.3808367328943,S009-FOD-01
Q2T009,S012,2816.3266435724277,3026.3266435724277,S012-MED-01;S012-WAT-01
Q2T010,S001,2378.325112547818,2630.325112547818,S001-HYG-01;S001-HYG-02
Q2T010,S002,3016.9699690314246,3376.9699690314246,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
Q2T011,S002,2618.0760640695025,2858.0760640695025,S002-FOD-01;S002-MED-01;S002-WAT-01
Q2T012,S010,4270.903871249777,4450.903871249777,S010-FOD-01
Q2T012,S014,4704.7418737349335,4884.7418737349335,S014-FOD-01
Q2T013,S015,4656.524394406502,4896.524394406502,S015-FOD-01;S015-MED-01;S015-WAT-01
Q2T014,S004,5032.768900253246,5428.768900253246,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03
Q2T015,S011,4835.5697271668,5123.5697271668,S011-FOD-01;S011-MED-01;S011-WAT-01
Q2T015,S008,5631.453100181786,5991.453100181786,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02
Q2T016,S009,6363.464326276343,6573.464326276343,S009-MED-01;S009-WAT-01
Q2T016,S012,6847.410133115876,7027.410133115876,S012-FOD-01
Q2T017,S003,6717.786211940582,6957.786211940582,S003-FOD-01;S003-MED-01;S003-WAT-01
Q2T018,S003,7367.757075043373,7727.757075043373,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
Q2T019,S005,7674.150853439556,8070.150853439556,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03
