电池编号,机型,架次,无人机,任务开始（s）,任务结束（s）,起始SOC,返航SOC,充电开始（s）,充电结束（s）,充电时长（s）
BAT-A01,A,Q2T001,U01,0.0,1312.6157157640032,1.0,0.7089809569760098,1312.6157157640032,2190.9404716951904,878.3247559311872
BAT-A02,A,Q2T002,U02,0.0,1653.853569215472,1.0,0.5661017316337023,1653.853569215472,2717.921318091659,1064.0677488761871
BAT-A03,A,Q2T003,U03,0.0,1988.9623510146887,1.0,0.4916325640488045,1988.9623510146887,3149.840017751243,1160.8776667365544
BAT-B01,B,Q2T004,U05,0.0,1636.1910431366152,1.0,0.5550504122563624,1636.1910431366152,3074.1036618922535,1437.9126187556383
BAT-B02,B,Q2T005,U06,0.0,1510.400941459339,1.0,0.543857672473197,1510.400941459339,2967.714309172464,1457.3133677131248
BAT-C01,C,Q2T006,U07,0.0,1561.4267416985454,1.0,0.6589394752819062,1561.4267416985454,3133.724545254415,1572.2978035558695
BAT-C02,C,Q2T007,U08,0.0,1495.4267416985454,1.0,0.6513841469817001,1495.4267416985454,3084.0944232381953,1588.66768153965
BAT-C03,C,Q2T008,U08,1495.4267416985454,3843.206154519335,1.0,0.4964513180648469,3843.206154519335,5767.5616320455,1924.355477526165
BAT-B03,B,Q2T009,U06,1510.400941459339,3678.2973438984936,1.0,0.2703495411443442,3678.2973438984936,5609.6914725816305,1931.3941286831368
BAT-C04,C,Q2T010,U07,1561.4267416985454,3999.06403232271,1.0,0.2445069480102705,3999.06403232271,6469.298978300458,2470.234945977748
BAT-B04,B,Q2T011,U05,1636.1910431366152,3456.08108500239,1.0,0.3195183451208976,3456.08108500239,5302.249286792834,1846.168201790444
BAT-B02,B,Q2T012,U05,3456.08108500239,5511.4844310027875,1.0,0.48389772535394937,5511.4844310027875,7072.728373722608,1561.2439427198206
BAT-B01,B,Q2T013,U06,3678.2973438984936,5507.87144491451,1.0,0.42227360925822,5507.87144491451,7175.930522200262,1668.0590772857522
BAT-C02,C,Q2T014,U08,3843.206154519335,6148.391645987157,1.0,0.2278851212635573,6148.391645987157,8654.640549916116,2506.2489039289585
BAT-C01,C,Q2T015,U07,3999.06403232271,6695.493044891517,1.0,0.20281115184287224,6695.493044891517,9256.068882565294,2560.5758376737776
BAT-B04,B,Q2T016,U05,5511.4844310027875,7679.380833441943,1.0,0.28852930355630657,7679.380833441943,9579.263373944344,1899.8825405024018
BAT-B03,B,Q2T017,U06,5609.6914725816305,7689.9342846328655,1.0,0.3052072401367609,7689.9342846328655,9560.908401729146,1870.9741170962807
BAT-C03,C,Q2T018,U08,6148.391645987157,8518.20250409959,1.0,0.2795784513671111,8518.20250409959,10912.449192804183,2394.246688704592
BAT-C04,C,Q2T019,U07,6695.493044891517,8575.538661987597,1.0,0.47015249491317235,8575.538661987597,10556.874923009056,1981.336261021459
