架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,起飞时刻（s）,返航SOC,充电完成时刻（s）,箱数
Q2T001,U01,A,BAT-A01,0.0,S006,1312.6157157640032,1.3095856936079557,360.0,0.7089809569760098,2190.9404716951904,2
Q2T002,U02,A,BAT-A02,0.0,S010,1653.853569215472,1.95254220764834,360.0,0.5661017316337023,2717.921318091659,2
Q2T003,U03,A,BAT-A03,0.0,S014,1988.9623510146887,2.28765346178038,360.0,0.4916325640488045,3149.840017751243,2
Q2T004,U05,B,BAT-B01,0.0,S007,1636.1910431366152,1.7797983509745503,390.0,0.5550504122563624,3074.1036618922535,3
Q2T005,U06,B,BAT-B02,0.0,S013,1510.400941459339,1.8245693101072118,390.0,0.543857672473197,2967.714309172464,3
Q2T006,U07,C,BAT-C01,0.0,S001,1561.4267416985454,2.7284841977447503,510.0,0.6589394752819062,3133.724545254415,7
Q2T007,U08,C,BAT-C02,0.0,S001,1495.4267416985454,2.7889268241463996,480.0,0.6513841469817001,3084.0944232381953,6
Q2T008,U08,C,BAT-C03,1495.4267416985454,S006→S007,3843.206154519335,4.028389455481225,1975.4267416985454,0.4964513180648469,5767.5616320455,6
Q2T009,U06,B,BAT-B03,1510.400941459339,S009→S012,3678.2973438984936,2.9186018354226233,1900.400941459339,0.2703495411443442,5609.6914725816305,3
Q2T010,U07,C,BAT-C04,1561.4267416985454,S001→S002,3999.06403232271,6.043944415917836,2071.4267416985454,0.2445069480102705,6469.298978300458,7
Q2T011,U05,B,BAT-B04,1636.1910431366152,S002,3456.08108500239,2.7219266195164096,2026.1910431366152,0.3195183451208976,5302.249286792834,3
Q2T012,U05,B,BAT-B02,3456.08108500239,S010→S014,5511.4844310027875,2.0644090985842025,3816.08108500239,0.48389772535394937,7072.728373722608,2
Q2T013,U06,B,BAT-B01,3678.2973438984936,S015,5507.87144491451,2.31090556296712,4068.2973438984936,0.42227360925822,7175.930522200262,3
Q2T014,U08,C,BAT-C02,3843.206154519335,S004,6148.391645987157,6.1769190298915415,4323.2061545193355,0.2278851212635573,8654.640549916116,6
Q2T015,U07,C,BAT-C01,3999.06403232271,S011→S008,6695.493044891517,6.377510785257022,4539.06403232271,0.20281115184287224,9256.068882565294,8
Q2T016,U05,B,BAT-B04,5511.4844310027875,S009→S012,7679.380833441943,2.8458827857747737,5901.4844310027875,0.28852930355630657,9579.263373944344,3
Q2T017,U06,B,BAT-B03,5609.6914725816305,S003,7689.9342846328655,2.7791710394529563,5999.6914725816305,0.3052072401367609,9560.908401729146,3
Q2T018,U08,C,BAT-C03,6148.391645987157,S003,8518.20250409959,5.763372389063111,6598.391645987157,0.2795784513671111,10912.449192804183,5
Q2T019,U07,C,BAT-C04,6695.493044891517,S005,8575.538661987597,4.238780040694621,7175.493044891517,0.47015249491317235,10556.874923009056,6
