货箱编号,架次编号,服务区编号,交付完成时刻（s）,物资类型,质量（kg）,体积（m3）,期望时刻（s）,硬截止（s）,优先系数,迟到秒数,加权迟到,是否首批
S001-FOD-01,Q2T006,S001,1248.8983708492726,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-FOD-02,Q2T007,S001,1182.8983708492726,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-FOD-03,Q2T007,S001,1182.8983708492726,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-HYG-01,Q2T010,S001,2630.325112547818,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S001-HYG-02,Q2T010,S001,2630.325112547818,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S001-MED-01,Q2T006,S001,1248.8983708492726,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S001-MED-02,Q2T006,S001,1248.8983708492726,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,False
S001-WAT-01,Q2T006,S001,1248.8983708492726,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S001-WAT-02,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-03,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-04,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-05,Q2T006,S001,1248.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-06,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-07,Q2T006,S001,1248.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-08,Q2T006,S001,1248.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S002-FOD-01,Q2T011,S002,2858.0760640695025,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S002-FOD-02,Q2T010,S002,3376.969969031424,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S002-HYG-01,Q2T010,S002,3376.969969031424,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
