架次,服务区,到达（s）,交接完成（s）,交付货箱
Q2T001,S014,1062.037842174011,1272.037842174011,S014-MED-01;S014-WAT-01
Q2T002,S005,950.6363292885657,1130.6363292885658,S005-MED-01
Q2T002,S008,1480.2351254768437,1690.2351254768437,S008-MED-01;S008-WAT-01
Q2T003,S010,894.4634512744026,1074.4634512744026,S010-FOD-01
Q2T003,S014,1357.6076335597227,1537.6076335597227,S014-FOD-01
Q2T004,S007,961.2993198680994,1141.2993198680992,S007-MED-01
Q2T004,S003,1418.6474326968325,1628.6474326968325,S003-MED-01;S003-WAT-01
Q2T005,S012,1031.8307003260657,1271.8307003260657,S012-FOD-01;S012-MED-01;S012-WAT-01
Q2T006,S006,702.0539694110699,942.0539694110699,S006-FOD-01;S006-MED-01;S006-WAT-01
Q2T007,S007,1017.7010507431123,1305.7010507431123,S007-FOD-01;S007-WAT-01;S007-WAT-02
Q2T007,S006,1707.9924701838083,1995.9924701838083,S006-HYG-01;S006-WAT-02;S006-WAT-03
Q2T008,S001,786.8983708492726,1182.8983708492726,S001-FOD-01;S001-HYG-02;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08
Q2T009,S013,2089.315076218476,2329.315076218476,S013-FOD-01;S013-MED-01;S013-WAT-01
Q2T010,S001,2282.325112547818,2678.325112547818,S001-FOD-02;S001-MED-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
Q2T011,S002,2905.686421585019,3145.686421585019,S002-FOD-01;S002-MED-01;S002-WAT-01
Q2T012,S010,2883.425802289091,3093.425802289091,S010-MED-01;S010-WAT-01
Q2T013,S001,3164.677783670062,3416.677783670062,S001-FOD-03;S001-WAT-01
Q2T013,S002,3803.3226401536685,4163.3226401536685,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
Q2T014,S008,3800.1539362786443,4010.1539362786443,S008-FOD-01;S008-HYG-01
Q2T015,S004,4186.594691603901,4582.594691603901,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03
Q2T016,S015,4762.63154393792,5002.63154393792,S015-FOD-01;S015-MED-01;S015-WAT-01
Q2T017,S005,5515.141652711871,5695.141652711871,S005-WAT-01
Q2T017,S008,5993.94414132265,6173.94414132265,S008-WAT-02
Q2T018,S005,5824.074511992994,6148.074511992994,S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03
Q2T018,S009,6458.656074930435,6746.656074930435,S009-FOD-01;S009-MED-01;S009-WAT-01
Q2T018,S001,7003.848868369383,7219.848868369383,S001-HYG-01
Q2T019,S007,6349.918488080923,6565.918488080923,S007-HYG-01
Q2T019,S003,6809.0861051342745,7205.0861051342745,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
Q2T020,S011,6280.980663394835,6520.980663394835,S011-FOD-01;S011-MED-01;S011-WAT-01
