电池编号,机型,架次,无人机,任务开始（s）,任务结束（s）,起始SOC,返航SOC,充电开始（s）,充电结束（s）,充电时长（s）
BAT-A01,A,Q2T001,U01,0.0,1988.9623510146887,1.0,0.4916325640488045,1988.9623510146887,3149.840017751243,1160.8776667365544
BAT-A02,A,Q2T002,U02,0.0,2498.1114012228127,1.0,0.2571938119666446,2498.1114012228127,3963.7594456661745,1465.6480444433619
BAT-A03,A,Q2T003,U03,0.0,2254.5321424004005,1.0,0.44898539921529057,2254.5321424004005,3470.8511234205225,1216.318981020122
BAT-A04,A,Q2T004,U04,0.0,2481.8134315618627,1.0,0.3280103499838847,2481.8134315618627,3855.3999765828125,1373.5865450209499
BAT-B01,B,Q2T005,U05,0.0,1923.8014006521316,1.0,0.31119052339743525,1923.8014006521316,3784.404493429911,1860.6030927777792
BAT-B02,B,Q2T006,U06,0.0,1266.5812721554732,1.0,0.6943710032495676,1266.5812721554732,2463.0048665228896,1196.4235943674164
BAT-C01,C,Q2T007,U07,0.0,2347.7794128207897,1.0,0.41308206288614935,2347.7794128207897,4452.768276567466,2104.9888637466765
BAT-C02,C,Q2T008,U08,0.0,1495.4267416985454,1.0,0.6915668288439489,1495.4267416985454,2997.0319458699896,1501.6052041714443
BAT-B03,B,Q2T009,U06,1266.5812721554732,2776.9822136148123,1.0,0.543857672473197,2776.9822136148123,4234.295581327937,1457.3133677131245
BAT-C03,C,Q2T010,U08,1495.4267416985454,2990.8534833970907,1.0,0.6691991734385955,2990.8534833970907,4540.9219409468005,1550.0684575497098
BAT-B04,B,Q2T011,U05,1923.8014006521316,3743.6914425179066,1.0,0.3195183451208976,3743.6914425179066,5589.859644308351,1846.168201790444
BAT-A05,A,Q2T012,U01,1988.9623510146887,3642.8159202301604,1.0,0.5661017316337023,3642.8159202301604,4706.883669106348,1064.0677488761876
BAT-C04,C,Q2T013,U07,2347.7794128207897,4785.416703444955,1.0,0.20300802174953891,4785.416703444955,7345.5659896542875,2560.149286209333
BAT-B02,B,Q2T014,U06,2776.9822136148123,4682.872325609143,1.0,0.35031716851708405,4682.872325609143,6475.655900179531,1792.7835745703878
BAT-C02,C,Q2T015,U08,2997.0319458699896,5302.217437337811,1.0,0.2278851212635573,5302.217437337811,7808.4663412667705,2506.2489039289594
BAT-B01,B,Q2T016,U05,3784.404493429911,5613.978594445927,1.0,0.42227360925822,5613.978594445927,7282.037671731679,1668.0590772857522
BAT-B03,B,Q2T017,U06,4682.872325609143,6846.662530653149,1.0,0.23908170275774376,6846.662530653149,8832.254245873059,1985.59171521991
BAT-C01,C,Q2T018,U07,4785.416703444955,7532.377239218656,1.0,0.25081598135168837,7532.377239218656,9988.942612956664,2456.565373738008
BAT-C03,C,Q2T019,U08,5302.217437337811,7995.531534190492,1.0,0.20118825106496807,7995.531534190492,10559.62365688306,2564.0921226925693
BAT-B04,B,Q2T020,U05,5613.978594445927,6803.609399010409,1.0,0.7307068411984117,6803.609399010409,7937.050874266495,1133.441475256086
