架次,起点,终点,剩余载荷（kg）,剩余体积（m3）,水平距离（m）,DEM最高（m）,巡航海拔（m）,爬升（m）,下降（m）,航段开始（s）,航段结束（s）,飞行时间（s）,能耗（kWh）
Q2T001,O01,S014,17.0,0.039,5410.917094369381,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,360.0,1062.037842174011,702.037842174011,1.2498540595121124
Q2T001,S014,O01,0,0,5410.917094369381,541.9473876953125,591.9473876953125,240.9473876953125,464.2473876953125,1272.037842174011,1988.9623510146887,716.9245088406776,1.0377994022682675
Q2T002,O01,S005,20.0,0.051000000000000004,5302.020131150288,276.410888671875,326.410888671875,198.710888671875,131.410888671875,390.0,950.6363292885657,560.6363292885657,1.1814365371920852
Q2T002,S005,S008,17.0,0.039,3047.778454649959,316.78717041015625,366.78717041015625,171.78717041015625,95.88717041015627,1130.6363292885658,1480.2351254768437,349.5987961882778,0.6744607465993696
Q2T002,S008,O01,0,0,8109.473184928188,322.9093322753906,372.9093322753906,102.00933227539065,245.20933227539064,1690.2351254768437,2498.1114012228127,807.8762757459689,1.4867305623586444
Q2T003,O01,S010,16.0,0.056,4778.439901620956,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,360.0,894.4634512744026,534.4634512744026,1.05847236123557
Q2T003,S010,S014,8.0,0.028,1758.3707880097782,487.5635681152344,537.5635681152344,185.96356811523435,186.56356811523438,1074.4634512744026,1357.6076335597227,283.1441822853201,0.38329394002735473
Q2T003,S014,O01,0,0,5410.917094369381,541.9473876953125,591.9473876953125,240.9473876953125,464.2473876953125,1537.6076335597227,2254.5321424004005,716.9245088406776,1.0377994022682675
Q2T004,O01,S007,20.0,0.051000000000000004,4533.827897987505,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,390.0,961.2993198680994,571.2993198680994,1.0832760290921155
Q2T004,S007,S003,17.0,0.039,2732.8231547260502,360.6993408203125,410.6993408203125,62.1993408203125,72.1993408203125,1141.2993198680992,1418.6474326968325,277.34811282873335,0.5745237039279176
Q2T004,S003,O01,0,0,7261.075570364734,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,1628.6474326968325,2481.8134315618627,853.1659988650299,1.366153692052486
Q2T005,O01,S012,25.0,0.067,7398.4495612874725,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,390.0,1031.8307003260657,641.8307003260658,1.665474368683037
Q2T005,S012,O01,0,0,7398.4495612874725,363.3009948730469,413.3009948730469,133.50099487304686,285.6009948730469,1271.8307003260657,1923.8014006521316,651.9707003260659,1.0897635377272221
Q2T006,O01,S006,25.0,0.067,3181.0333082558936,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,390.0,702.0539694110699,312.05396941106994,0.755463032534447
Q2T006,S006,O01,0,0,3181.0333082558936,316.09783935546875,366.09783935546875,51.29783935546874,238.39783935546876,942.0539694110699,1266.5812721554732,324.5273027444033,0.4670529544672828
Q2T007,O01,S007,70.0,0.17099999999999999,4533.827897987505,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,480.0,1017.7010507431123,537.7010507431123,2.6978053281779175
Q2T007,S007,S006,34.0,0.089,2516.493361922941,540.361328125,590.361328125,241.861328125,275.561328125,1305.7010507431123,1707.9924701838083,402.291419440696,1.0051877389975483
Q2T007,S006,O01,0,0,3181.0333082558936,316.09783935546875,366.09783935546875,51.29783935546874,238.39783935546876,1995.9924701838083,2347.7794128207897,351.78694263698145,0.9923504297353398
Q2T008,O01,S001,59.0,0.156,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,480.0,786.8983708492726,306.8983708492726,1.5013171571133026
Q2T008,S001,O01,0,0,3063.4113262888936,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,1182.8983708492726,1495.4267416985454,312.5283708492726,0.9661482121351055
Q2T009,O01,S013,25.0,0.067,4848.706999909886,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,1656.5812721554732,2089.315076218476,432.7338040630028,1.1202160231760743
Q2T009,S013,O01,0,0,4848.706999909886,349.18182373046875,399.18182373046875,47.48182373046876,271.48182373046876,2329.315076218476,2776.9822136148123,447.66713739633616,0.7043532869311375
Q2T010,O01,S001,67.0,0.148,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,1975.4267416985454,2282.325112547818,306.8983708492726,1.6802584003561307
Q2T010,S001,O01,0,0,3063.4113262888936,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,2678.325112547818,2990.8534833970907,312.5283708492726,0.9661482121351055
Q2T011,O01,S002,25.0,0.067,7435.278518339014,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,2313.8014006521316,2905.686421585019,591.8850209328874,1.6377376063083129
Q2T011,S002,O01,0,0,7435.278518339014,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,3145.686421585019,3743.6914425179066,598.0050209328875,1.0841890132080965
Q2T012,O01,S010,17.0,0.039,4778.439901620956,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,2348.9623510146885,2883.425802289091,534.4634512744026,1.070159179281298
Q2T012,S010,O01,0,0,4778.439901620956,385.63653564453125,435.63653564453125,84.03653564453123,307.93653564453126,3093.425802289091,3642.8159202301604,549.3901179410693,0.8823830283670421
Q2T013,O01,S001,78.0,0.199,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,2857.7794128207897,3164.677783670062,306.8983708492726,2.0385496778659884
Q2T013,S001,S002,56.0,0.14400000000000002,4375.117473108587,259.2448425292969,309.2448425292969,125.24484252929688,89.74484252929688,3416.677783670062,3803.3226401536685,386.64485648360625,2.0259428331964107
Q2T013,S002,O01,0,0,7435.278518339014,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,4163.3226401536685,4785.416703444955,622.0940632912858,2.311443314941289
Q2T014,O01,S008,14.0,0.063,8109.473184928188,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,3136.9822136148123,3800.1539362786443,663.1717226638323,1.4151401525183211
Q2T014,S008,O01,0,0,8109.473184928188,322.9093322753906,372.9093322753906,102.00933227539065,245.20933227539064,4010.1539362786443,4682.872325609143,672.718389330499,1.1835911734133422
Q2T015,O01,S004,59.0,0.156,7745.662441501828,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,3477.0319458699896,4186.594691603901,709.562745733911,3.748680518186259
Q2T015,S004,O01,0,0,7745.662441501828,348.2391662597656,398.2391662597656,169.9391662597656,270.53916625976564,4582.594691603901,5302.217437337812,719.622745733911,2.428238511705282
Q2T016,O01,S015,25.0,0.067,6019.113948538092,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,4174.404493429911,4762.63154393792,588.2270505080082,1.42709584923683
Q2T016,S015,O01,0,0,6019.113948538092,521.7992553710938,571.7992553710938,97.29925537109375,444.09925537109376,5002.63154393792,5613.978594445928,611.3470505080082,0.8838097137302899
Q2T017,O01,S005,28.0,0.054,5302.020131150288,276.410888671875,326.410888671875,198.710888671875,131.410888671875,5042.872325609143,5515.141652711871,472.2693271027276,1.3044218339540228
Q2T017,S005,S008,14.0,0.027,3047.778454649959,316.78717041015625,366.78717041015625,171.78717041015625,95.88717041015627,5695.141652711871,5993.94414132265,298.8024886107785,0.5556601816016598
Q2T017,S008,O01,0,0,8109.473184928188,322.9093322753906,372.9093322753906,102.00933227539065,245.20933227539064,6173.94414132265,6846.662530653149,672.718389330499,1.1835911734133422
Q2T018,O01,S005,73.0,0.219,5302.020131150288,276.410888671875,326.410888671875,198.710888671875,131.410888671875,5325.416703444955,5824.074511992994,498.65780854804007,3.181840556268993
Q2T018,S005,S009,31.0,0.102,2645.6202183536057,313.5632019042969,363.5632019042969,168.56320190429688,133.56320190429688,6148.074511992994,6458.656074930435,310.5815629374409,0.9999227395245607
Q2T018,S009,S001,6.0,0.035,2659.3015848117507,243.22891235351562,293.2289123535156,63.228912353515625,109.22891235351562,6746.656074930435,7003.848868369383,257.19279343894743,0.8455606412578346
Q2T018,S001,O01,0,0,3063.4113262888936,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,7219.848868369383,7532.377239218656,312.5283708492726,0.9661482121351055
Q2T019,O01,S007,70.0,0.20700000000000002,4533.827897987505,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,5812.217437337811,6349.918488080923,537.7010507431123,2.6978053281779175
Q2T019,S007,S003,64.0,0.17200000000000001,2732.8231547260502,360.6993408203125,410.6993408203125,62.1993408203125,72.1993408203125,6565.918488080923,6809.0861051342745,243.16761705335128,1.3994359897551494
Q2T019,S003,O01,0,0,7261.075570364734,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,7205.0861051342745,7995.531534190491,790.4454290562165,2.2932526735471885
Q2T020,O01,S011,25.0,0.067,2817.1517251515784,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,6003.978594445927,6280.980663394835,277.0020689489073,0.6542394187282041
Q2T020,S011,O01,0,0,2817.1517251515784,245.36175537109375,295.36175537109375,83.26175537109376,167.66175537109376,6520.980663394835,6803.609399010409,282.628735615574,0.4229332164781491
