架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,起飞时刻（s）,返航SOC,充电完成时刻（s）,箱数
Q2T001,U01,A,BAT-A01,0.0,S014,1988.9623510146887,2.28765346178038,360.0,0.4916325640488045,3149.840017751243,2
Q2T002,U02,A,BAT-A02,0.0,S005→S008,2498.1114012228127,3.3426278461500996,390.0,0.2571938119666446,3963.7594456661745,3
Q2T003,U03,A,BAT-A03,0.0,S010→S014,2254.5321424004005,2.4795657035311924,360.0,0.44898539921529057,3470.8511234205225,2
Q2T004,U04,A,BAT-A04,0.0,S007→S003,2481.8134315618627,3.023953425072519,390.0,0.3280103499838847,3855.3999765828125,3
Q2T005,U05,B,BAT-B01,0.0,S012,1923.8014006521316,2.755237906410259,390.0,0.31119052339743525,3784.404493429911,3
Q2T006,U06,B,BAT-B02,0.0,S006,1266.5812721554732,1.2225159870017297,390.0,0.6943710032495676,2463.0048665228896,3
Q2T007,U07,C,BAT-C01,0.0,S007→S006,2347.7794128207897,4.695343496910805,480.0,0.41308206288614935,4452.768276567466,6
Q2T008,U08,C,BAT-C02,0.0,S001,1495.4267416985454,2.467465369248408,480.0,0.6915668288439489,2997.0319458699896,6
Q2T009,U06,B,BAT-B03,1266.5812721554732,S013,2776.9822136148123,1.8245693101072118,1656.5812721554732,0.543857672473197,4234.295581327937,3
Q2T010,U08,C,BAT-C03,1495.4267416985454,S001,2990.8534833970907,2.646406612491236,1975.4267416985454,0.6691991734385955,4540.9219409468005,6
Q2T011,U05,B,BAT-B04,1923.8014006521316,S002,3743.6914425179066,2.7219266195164096,2313.8014006521316,0.3195183451208976,5589.859644308351,3
Q2T012,U01,A,BAT-A05,1988.9623510146887,S010,3642.8159202301604,1.95254220764834,2348.9623510146885,0.5661017316337023,4706.883669106348,2
Q2T013,U07,C,BAT-C04,2347.7794128207897,S001→S002,4785.416703444955,6.375935826003689,2857.7794128207897,0.20300802174953891,7345.5659896542875,7
Q2T014,U06,B,BAT-B02,2776.9822136148123,S008,4682.872325609143,2.598731325931664,3136.9822136148123,0.35031716851708405,6475.655900179531,2
Q2T015,U08,C,BAT-C02,2997.0319458699896,S004,5302.217437337811,6.1769190298915415,3477.0319458699896,0.2278851212635573,7808.4663412667705,6
Q2T016,U05,B,BAT-B01,3784.404493429911,S015,5613.978594445927,2.31090556296712,4174.404493429911,0.42227360925822,7282.037671731679,3
Q2T017,U06,B,BAT-B03,4682.872325609143,S005→S008,6846.662530653149,3.043673188969025,5042.872325609143,0.23908170275774376,8832.254245873059,2
Q2T018,U07,C,BAT-C01,4785.416703444955,S005→S009→S001,7532.377239218656,5.993472149186493,5325.416703444955,0.25081598135168837,9988.942612956664,8
Q2T019,U08,C,BAT-C03,5302.217437337811,S007→S003,7995.531534190492,6.390493991480255,5812.217437337811,0.20118825106496807,10559.62365688306,7
Q2T020,U05,B,BAT-B04,5613.978594445927,S011,6803.609399010409,1.0771726352063533,6003.978594445927,0.7307068411984117,7937.050874266495,3
