货箱编号,架次编号,服务区编号,交付完成时刻（s）,物资类型,质量（kg）,体积（m3）,期望时刻（s）,硬截止（s）,优先系数,迟到秒数,加权迟到,是否首批
S001-FOD-01,Q2T008,S001,1182.8983708492726,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-FOD-02,Q2T010,S001,2678.325112547818,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-FOD-03,Q2T013,S001,3416.677783670062,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-HYG-01,Q2T018,S001,7219.848868369383,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S001-HYG-02,Q2T008,S001,1182.8983708492726,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S001-MED-01,Q2T010,S001,2678.325112547818,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S001-MED-02,Q2T008,S001,1182.8983708492726,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,False
S001-WAT-01,Q2T013,S001,3416.677783670062,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S001-WAT-02,Q2T010,S001,2678.325112547818,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-03,Q2T010,S001,2678.325112547818,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-04,Q2T010,S001,2678.325112547818,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-05,Q2T010,S001,2678.325112547818,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-06,Q2T008,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-07,Q2T008,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-08,Q2T008,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S002-FOD-01,Q2T011,S002,3145.686421585019,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S002-FOD-02,Q2T013,S002,4163.3226401536685,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S002-HYG-01,Q2T013,S002,4163.3226401536685,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S002-MED-01,Q2T011,S002,3145.686421585019,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S002-WAT-01,Q2T011,S002,3145.686421585019,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S002-WAT-02,Q2T013,S002,4163.3226401536685,饮用水,14.0,0.027,3600.0,,12.0,563.3226401536685,1.8777421338455618,False
S002-WAT-03,Q2T013,S002,4163.3226401536685,饮用水,14.0,0.027,3600.0,,12.0,563.3226401536685,1.8777421338455618,False
S002-WAT-04,Q2T013,S002,4163.3226401536685,饮用水,14.0,0.027,3600.0,,12.0,563.3226401536685,1.8777421338455618,False
S003-FOD-01,Q2T019,S003,7205.0861051342745,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S003-FOD-02,Q2T019,S003,7205.0861051342745,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
