架次,服务区,到达（s）,交接完成（s）,交付货箱
Q2T001,S013,873.5455873948342,1083.5455873948342,S013-MED-01;S013-WAT-01
Q2T002,S013,873.5455873948342,1053.5455873948342,S013-FOD-01
Q2T002,S012,1383.1737460573497,1563.1737460573497,S012-WAT-01
Q2T003,S006,725.0711912153349,935.0711912153349,S006-MED-01;S006-WAT-03
Q2T004,S014,1001.8558906011879,1241.8558906011879,S014-FOD-01;S014-MED-01;S014-WAT-01
Q2T005,S001,678.3022691647022,888.3022691647022,S001-FOD-01;S001-MED-01
Q2T005,S002,1257.622985226759,1437.622985226759,S002-WAT-04
Q2T006,S002,1122.9140632912859,1554.9140632912859,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-MED-01;S002-WAT-01;S002-WAT-02;S002-WAT-03
Q2T007,S001,786.8983708492726,1182.8983708492726,S001-FOD-02;S001-FOD-03;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08
Q2T008,S006,2368.503684335527,2656.503684335527,S006-HYG-01;S006-WAT-01;S006-WAT-02
Q2T008,S007,3055.425103776223,3415.425103776223,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02
Q2T009,S001,2546.900717033745,2726.900717033745,S001-WAT-03
Q2T009,S012,3186.1884158239122,3396.1884158239122,S012-FOD-01;S012-MED-01
Q2T010,S010,2880.4507924070335,3120.4507924070335,S010-FOD-01;S010-MED-01;S010-WAT-01
Q2T011,S001,3023.9064974318444,3419.9064974318444,S001-HYG-01;S001-HYG-02;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-04
Q2T011,S009,3672.499290870792,3924.499290870792,S009-MED-01;S009-WAT-01
Q2T012,S006,4292.2542147321565,4472.2542147321565,S006-FOD-01
Q2T012,S003,5038.225150323442,5218.225150323442,S003-WAT-01
Q2T012,S015,5447.674975205032,5627.674975205032,S015-MED-01
Q2T013,S003,5254.571583575552,5686.571583575552,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-MED-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
Q2T014,S011,4715.161185098886,4895.161185098886,S011-FOD-01
Q2T014,S008,5375.4551407961635,5585.4551407961635,S008-MED-01;S008-WAT-01
Q2T015,S004,5906.359092667843,6302.359092667843,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03
Q2T016,S011,6906.024094661948,7116.024094661948,S011-MED-01;S011-WAT-01
Q2T016,S009,7473.2752768461105,7653.2752768461105,S009-FOD-01
Q2T017,S005,7485.674821179808,7881.674821179808,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03
Q2T017,S015,8373.15232805371,8589.15232805371,S015-WAT-01
Q2T018,S008,8131.701783111485,8419.701783111486,S008-FOD-01;S008-HYG-01;S008-WAT-02
Q2T018,S015,8976.068397762932,9192.068397762932,S015-FOD-01
