电池编号,机型,架次,无人机,任务开始（s）,任务结束（s）,起始SOC,返航SOC,充电开始（s）,充电结束（s）,充电时长（s）
BAT-A01,A,Q2T001,U01,0.0,1612.0245081230019,1.0,0.5649448745684564,1612.0245081230019,2677.596171184008,1065.5716630610063
BAT-A02,A,Q2T002,U02,0.0,2338.45193907154,1.0,0.3118636294326147,2338.45193907154,3733.029220809141,1394.577281737601
BAT-A03,A,Q2T003,U03,0.0,1312.6157157640032,1.0,0.7089809569760098,1312.6157157640032,2190.9404716951904,878.3247559311872
BAT-B01,B,Q2T004,U05,0.0,1868.5984478690425,1.0,0.46567325998914555,1868.5984478690425,3461.431463887857,1592.8330160188143
BAT-B02,B,Q2T005,U06,0.0,2035.6280061596467,1.0,0.3639001564862965,2035.6280061596467,3804.867734916733,1769.2397287570861
BAT-C01,C,Q2T006,U07,0.0,2177.0081265825715,1.0,0.21240543676091062,2177.0081265825715,4716.796346933932,2539.7882203513605
BAT-C02,C,Q2T007,U08,0.0,1495.4267416985454,1.0,0.6513841469817001,1495.4267416985454,3084.0944232381953,1588.66768153965
BAT-C03,C,Q2T008,U08,1495.4267416985454,3975.206154519335,1.0,0.40377714140302423,3975.206154519335,6100.355681479449,2125.149526960114
BAT-B03,B,Q2T009,U05,1868.5984478690425,4048.1591161499778,1.0,0.3493849372136768,4048.1591161499778,5842.558558312938,1794.39944216296
BAT-B04,B,Q2T010,U06,2035.6280061596467,3590.2002453210866,1.0,0.5447381788009056,3590.2002453210866,5045.987402066184,1455.787156745097
BAT-C04,C,Q2T011,U07,2177.0081265825715,4414.0673382032655,1.0,0.4292797001862265,4414.0673382032655,6483.961321133108,2069.8939829298424
BAT-B01,B,Q2T012,U06,3590.2002453210866,6239.02202571304,1.0,0.24879593304653813,6239.02202571304,8207.775741765709,1968.753716052668
BAT-C02,C,Q2T013,U08,3975.206154519335,6477.017012631768,1.0,0.20971146120977946,6477.017012631768,9022.642180010578,2545.62516737881
BAT-B02,B,Q2T014,U05,4048.1591161499778,6258.173530126662,1.0,0.2912221332315911,6258.173530126662,8153.388499191904,1895.2149690652423
BAT-C01,C,Q2T015,U07,4716.796346933932,7021.981838401754,1.0,0.2278851212635573,7021.981838401754,9528.230742330714,2506.2489039289594
BAT-B04,B,Q2T016,U06,6239.02202571304,8122.075172119666,1.0,0.4567914438749143,8122.075172119666,9730.303336069814,1608.228163950148
BAT-C03,C,Q2T017,U08,6477.017012631768,9251.395921123567,1.0,0.20059889588266389,9251.395921123567,11816.764980044461,2565.3690589208945
BAT-C04,C,Q2T018,U07,7021.981838401754,9854.311990832788,1.0,0.2102454004922265,9854.311990832788,12398.780289766297,2544.468298933509
