架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,起飞时刻（s）,返航SOC,充电完成时刻（s）,箱数
Q2T001,U01,A,BAT-A01,0.0,S013,1612.0245081230019,1.9577480644419463,360.0,0.5649448745684564,2677.596171184008,2
Q2T002,U02,A,BAT-A02,0.0,S013→S012,2338.45193907154,3.096613667553234,360.0,0.3118636294326147,3733.029220809141,2
Q2T003,U03,A,BAT-A03,0.0,S006,1312.6157157640032,1.3095856936079557,360.0,0.7089809569760098,2190.9404716951904,2
Q2T004,U05,B,BAT-B01,0.0,S014,1868.5984478690425,2.137306960043418,390.0,0.46567325998914555,3461.431463887857,3
Q2T005,U06,B,BAT-B02,0.0,S001→S002,2035.6280061596467,2.544399374054814,390.0,0.3639001564862965,3804.867734916733,3
Q2T006,U07,C,BAT-C01,0.0,S002,2177.0081265825715,6.300756505912715,510.0,0.21240543676091062,4716.796346933932,7
Q2T007,U08,C,BAT-C02,0.0,S001,1495.4267416985454,2.7889268241463996,480.0,0.6513841469817001,3084.0944232381953,6
Q2T008,U08,C,BAT-C03,1495.4267416985454,S006→S007,3975.206154519335,4.769782868775806,2035.4267416985454,0.40377714140302423,6100.355681479449,8
Q2T009,U05,B,BAT-B03,1868.5984478690425,S001→S012,4048.1591161499778,2.602460251145293,2258.5984478690425,0.3493849372136768,5842.558558312938,3
Q2T010,U06,B,BAT-B04,2035.6280061596467,S010,3590.2002453210866,1.8210472847963777,2425.6280061596467,0.5447381788009056,5045.987402066184,3
Q2T011,U07,C,BAT-C04,2177.0081265825715,S001→S009,4414.0673382032655,4.565762398510188,2717.0081265825715,0.4292797001862265,6483.961321133108,8
Q2T012,U06,B,BAT-B01,3590.2002453210866,S006→S003→S015,6239.02202571304,3.0048162678138475,3980.2002453210866,0.24879593304653813,8207.775741765709,3
Q2T013,U08,C,BAT-C02,3975.206154519335,S003,6477.017012631768,6.322308310321764,4485.2061545193355,0.20971146120977946,9022.642180010578,7
Q2T014,U05,B,BAT-B02,4048.1591161499778,S011→S008,6258.173530126662,2.8351114670736357,4438.159116149978,0.2912221332315911,8153.388499191904,3
Q2T015,U07,C,BAT-C01,4716.796346933932,S004,7021.981838401754,6.1769190298915415,5196.796346933932,0.2278851212635573,9528.230742330714,6
Q2T016,U06,B,BAT-B04,6239.02202571304,S011→S009,8122.075172119666,2.1728342245003427,6629.02202571304,0.4567914438749143,9730.303336069814,3
Q2T017,U08,C,BAT-C03,6477.017012631768,S005→S015,9251.395921123567,6.395208832938689,6987.017012631768,0.20059889588266389,11816.764980044461,7
Q2T018,U07,C,BAT-C04,7021.981838401754,S008→S015,9854.311990832788,6.318036796062188,7441.981838401754,0.2102454004922265,12398.780289766297,4
