货箱编号,架次编号,服务区编号,交付完成时刻（s）,物资类型,质量（kg）,体积（m3）,期望时刻（s）,硬截止（s）,优先系数,迟到秒数,加权迟到,是否首批
S001-FOD-01,Q2T005,S001,888.3022691647022,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-FOD-02,Q2T007,S001,1182.8983708492726,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-FOD-03,Q2T007,S001,1182.8983708492726,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-HYG-01,Q2T011,S001,3419.9064974318444,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S001-HYG-02,Q2T011,S001,3419.9064974318444,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S001-MED-01,Q2T005,S001,888.3022691647022,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S001-MED-02,Q2T011,S001,3419.9064974318444,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,False
S001-WAT-01,Q2T011,S001,3419.9064974318444,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S001-WAT-02,Q2T011,S001,3419.9064974318444,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-03,Q2T009,S001,2726.9007170337445,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-04,Q2T011,S001,3419.9064974318444,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-05,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-06,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-07,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-08,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S002-FOD-01,Q2T006,S002,1554.9140632912859,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S002-FOD-02,Q2T006,S002,1554.9140632912859,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S002-HYG-01,Q2T006,S002,1554.9140632912859,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S002-MED-01,Q2T006,S002,1554.9140632912859,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S002-WAT-01,Q2T006,S002,1554.9140632912859,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S002-WAT-02,Q2T006,S002,1554.9140632912859,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S002-WAT-03,Q2T006,S002,1554.9140632912859,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S002-WAT-04,Q2T005,S002,1437.622985226759,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S003-FOD-01,Q2T013,S003,5686.571583575552,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S003-FOD-02,Q2T013,S003,5686.571583575552,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S003-HYG-01,Q2T013,S003,5686.571583575552,生活卫生用品,6.0,0.035,14400.0,,6.0,0.0,0.0,False
S003-MED-01,Q2T013,S003,5686.571583575552,医疗物资,3.0,0.012,7200.0,7200.0,20.0,0.0,0.0,True
S003-WAT-01,Q2T012,S003,5218.225150323442,饮用水,14.0,0.027,7200.0,7200.0,10.0,0.0,0.0,True
S003-WAT-02,Q2T013,S003,5686.571583575552,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S003-WAT-03,Q2T013,S003,5686.571583575552,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S003-WAT-04,Q2T013,S003,5686.571583575552,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S004-FOD-01,Q2T015,S004,6302.359092667843,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S004-HYG-01,Q2T015,S004,6302.359092667843,生活卫生用品,6.0,0.035,14400.0,,6.0,0.0,0.0,False
S004-MED-01,Q2T015,S004,6302.359092667843,医疗物资,3.0,0.012,7200.0,7200.0,20.0,0.0,0.0,True
S004-WAT-01,Q2T015,S004,6302.359092667843,饮用水,14.0,0.027,7200.0,7200.0,10.0,0.0,0.0,True
S004-WAT-02,Q2T015,S004,6302.359092667843,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S004-WAT-03,Q2T015,S004,6302.359092667843,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S005-FOD-01,Q2T017,S005,7881.674821179808,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S005-HYG-01,Q2T017,S005,7881.674821179808,生活卫生用品,6.0,0.035,18000.0,,4.0,0.0,0.0,False
S005-MED-01,Q2T017,S005,7881.674821179808,医疗物资,3.0,0.012,10800.0,10800.0,16.0,0.0,0.0,True
S005-WAT-01,Q2T017,S005,7881.674821179808,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
S005-WAT-02,Q2T017,S005,7881.674821179808,饮用水,14.0,0.027,10800.0,,8.0,0.0,0.0,False
S005-WAT-03,Q2T017,S005,7881.674821179808,饮用水,14.0,0.027,10800.0,,8.0,0.0,0.0,False
S006-FOD-01,Q2T012,S006,4472.2542147321565,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S006-HYG-01,Q2T008,S006,2656.503684335527,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S006-MED-01,Q2T003,S006,935.0711912153349,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S006-WAT-01,Q2T008,S006,2656.503684335527,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S006-WAT-02,Q2T008,S006,2656.503684335527,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S006-WAT-03,Q2T003,S006,935.0711912153349,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S007-FOD-01,Q2T008,S007,3415.4251037762233,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S007-HYG-01,Q2T008,S007,3415.4251037762233,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S007-MED-01,Q2T008,S007,3415.4251037762233,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S007-WAT-01,Q2T008,S007,3415.4251037762233,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S007-WAT-02,Q2T008,S007,3415.4251037762233,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S008-FOD-01,Q2T018,S008,8419.701783111484,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S008-HYG-01,Q2T018,S008,8419.701783111484,生活卫生用品,6.0,0.035,14400.0,,6.0,0.0,0.0,False
S008-MED-01,Q2T014,S008,5585.455140796163,医疗物资,3.0,0.012,7200.0,7200.0,20.0,0.0,0.0,True
S008-WAT-01,Q2T014,S008,5585.455140796163,饮用水,14.0,0.027,7200.0,7200.0,10.0,0.0,0.0,True
S008-WAT-02,Q2T018,S008,8419.701783111484,饮用水,14.0,0.027,7200.0,,10.0,1219.7017831114845,1.6940302543215062,False
S009-FOD-01,Q2T016,S009,7653.2752768461105,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S009-MED-01,Q2T011,S009,3924.499290870792,医疗物资,3.0,0.012,10800.0,10800.0,16.0,0.0,0.0,True
S009-WAT-01,Q2T011,S009,3924.499290870792,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
