架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q2T001,U01,A,BAT-A01,0.0,S007,1727.319,1.905101
Q2T002,U02,A,BAT-A02,0.0,S002,2007.733,3.028173
Q2T003,U05,B,BAT-B01,0.0,S012,1923.801,2.755238
Q2T004,U06,B,BAT-B02,0.0,S014,1868.598,2.137307
Q2T005,U07,C,BAT-C01,0.0,S002,2111.008,5.871638
Q2T006,U08,C,BAT-C02,0.0,S001,1627.427,2.728484
Q2T007,U08,C,BAT-C03,1627.427,S006→S007,4107.206,4.305306
Q2T008,U06,B,BAT-B03,1868.598,S010,3423.171,1.821047
Q2T009,U05,B,BAT-B04,1923.801,S013,3434.202,1.824569
Q2T010,U07,C,BAT-C04,2111.008,S001,3606.435,2.926273
Q2T011,U06,B,BAT-B02,3461.431,S004,5447.204,2.882269
Q2T012,U07,C,BAT-C02,3606.435,S007→S003,6299.749,6.081514
Q2T013,U05,B,BAT-B01,3784.404,S003,5804.647,2.935637
Q2T014,U08,C,BAT-C01,4534.577,S005→S008,7113.118,6.382961
Q2T015,U06,B,BAT-B03,5447.204,S015,7276.778,2.310906
Q2T016,U05,B,BAT-B04,5804.647,S001→S005,7637.9,2.042764
Q2T017,U07,C,BAT-C04,6299.749,S005→S004,8885.54,6.119611
Q2T018,U08,C,BAT-C03,7113.118,S009,8760.024,3.78066
Q2T019,U06,B,BAT-B02,7362.854,S011,8552.485,1.077173
