货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q2T006,S001,1314.898
S001-FOD-02,Q2T006,S001,1314.898
S001-FOD-03,Q2T016,S001,6662.95
S001-HYG-01,Q2T010,S001,3293.906
S001-HYG-02,Q2T006,S001,1314.898
S001-MED-01,Q2T006,S001,1314.898
S001-MED-02,Q2T006,S001,1314.898
S001-WAT-01,Q2T010,S001,3293.906
S001-WAT-02,Q2T010,S001,3293.906
S001-WAT-03,Q2T010,S001,3293.906
S001-WAT-04,Q2T006,S001,1314.898
S001-WAT-05,Q2T006,S001,1314.898
S001-WAT-06,Q2T010,S001,3293.906
S001-WAT-07,Q2T006,S001,1314.898
S001-WAT-08,Q2T010,S001,3293.906
S002-FOD-01,Q2T002,S002,1285.806
S002-FOD-02,Q2T005,S002,1488.914
S002-HYG-01,Q2T005,S002,1488.914
S002-MED-01,Q2T005,S002,1488.914
S002-WAT-01,Q2T005,S002,1488.914
S002-WAT-02,Q2T002,S002,1285.806
S002-WAT-03,Q2T005,S002,1488.914
S002-WAT-04,Q2T005,S002,1488.914
S003-FOD-01,Q2T012,S003,5509.304
S003-FOD-02,Q2T012,S003,5509.304
S003-HYG-01,Q2T012,S003,5509.304
S003-MED-01,Q2T012,S003,5509.304
S003-WAT-01,Q2T013,S003,5072.499
S003-WAT-02,Q2T012,S003,5509.304
S003-WAT-03,Q2T012,S003,5509.304
S003-WAT-04,Q2T013,S003,5072.499
S004-FOD-01,Q2T011,S004,4765.964
S004-HYG-01,Q2T017,S004,8165.917
S004-MED-01,Q2T011,S004,4765.964
S004-WAT-01,Q2T011,S004,4765.964
S004-WAT-02,Q2T017,S004,8165.917
S004-WAT-03,Q2T017,S004,8165.917
S005-FOD-01,Q2T017,S005,7566.407
S005-HYG-01,Q2T017,S005,7566.407
S005-MED-01,Q2T016,S005,7161.144
S005-WAT-01,Q2T017,S005,7566.407
S005-WAT-02,Q2T016,S005,7161.144
S005-WAT-03,Q2T014,S005,5729.235
S006-FOD-01,Q2T007,S006,2896.504
S006-HYG-01,Q2T007,S006,2896.504
S006-MED-01,Q2T007,S006,2896.504
S006-WAT-01,Q2T007,S006,2896.504
S006-WAT-02,Q2T007,S006,2896.504
S006-WAT-03,Q2T007,S006,2896.504
S007-FOD-01,Q2T007,S007,3547.425
S007-HYG-01,Q2T007,S007,3547.425
S007-MED-01,Q2T001,S007,1141.299
S007-WAT-01,Q2T001,S007,1141.299
S007-WAT-02,Q2T012,S007,4870.136
S008-FOD-01,Q2T014,S008,6409.078
S008-HYG-01,Q2T014,S008,6409.078
S008-MED-01,Q2T014,S008,6409.078
S008-WAT-01,Q2T014,S008,6409.078
S008-WAT-02,Q2T014,S008,6409.078
S009-FOD-01,Q2T018,S009,8270.456
S009-MED-01,Q2T018,S009,8270.456
S009-WAT-01,Q2T018,S009,8270.456
S010-FOD-01,Q2T008,S010,2953.421
S010-MED-01,Q2T008,S010,2953.421
S010-WAT-01,Q2T008,S010,2953.421
S011-FOD-01,Q2T019,S011,8269.856
S011-MED-01,Q2T019,S011,8269.856
S011-WAT-01,Q2T019,S011,8269.856
S012-FOD-01,Q2T003,S012,1271.831
S012-MED-01,Q2T003,S012,1271.831
S012-WAT-01,Q2T003,S012,1271.831
S013-FOD-01,Q2T009,S013,2986.535
S013-MED-01,Q2T009,S013,2986.535
S013-WAT-01,Q2T009,S013,2986.535
S014-FOD-01,Q2T004,S014,1241.856
S014-MED-01,Q2T004,S014,1241.856
S014-WAT-01,Q2T004,S014,1241.856
S015-FOD-01,Q2T015,S015,6665.431
S015-MED-01,Q2T015,S015,6665.431
S015-WAT-01,Q2T015,S015,6665.431
