中继架次编号,中继无人机编号,能源组件编号,开始时刻,悬停经度,悬停纬度,悬停海拔,建链完成,服务结束,返回O01,能耗kWh
Q3R001,R01,RE-01,51.67139239658377,109.26611111111112,23.049722222222222,575.6446838378906,762.5017016601557,1679.6385246385394,2217.797557555269,0.5776717532866653
Q3R002,R02,RE-02,132.4629828942945,109.27611111111112,23.019444444444446,621.5816650390625,785.200331624349,1649.6385246385394,2133.532678788516,0.5212029701727692
Q3R003,R02,RE-03,2481.6562408012605,109.2025,23.039166666666667,797.1484069824219,3157.452384092647,4047.358107078771,4568.941617618692,0.5312898896251991
Q3R004,R01,RE-04,2725.6601426795555,109.24666666666667,23.010833333333334,577.767578125,3157.452384092647,4137.358107078771,4396.65598000228,0.41842655716218635
Q3R005,R01,RE-05,4726.65598000228,109.28555555555556,23.069166666666668,871.24609375,5706.87703824448,7269.616527709961,8101.799760431328,0.9261269537098382
Q3R006,R02,RE-06,4942.528048045085,109.28555555555556,23.03027777777778,718.6152648925781,5706.87703824448,7299.616527709961,7903.2084566504045,0.8081787555375551
Q3R007,R02,RE-02,9896.026160877613,109.24666666666667,23.010833333333334,577.767578125,10327.818402290704,10815.698297564259,11074.996170487768,0.26808533202778995
Q3R008,R01,RE-01,15433.18324689629,109.18833333333333,23.010833333333334,739.2029724121094,16086.682089449687,17137.727518505904,17632.184942093645,0.5703829746324699
Q3R009,R02,RE-04,17727.891692546415,109.18833333333333,23.069166666666668,1024.06298828125,18697.06695879259,19578.238924385896,20412.111106322176,0.6999966057131739
Q3R010,R01,RE-03,20003.70817615309,109.26611111111112,23.049722222222222,575.6446838378906,20714.538485416662,21584.732548707947,22122.891581624677,0.5633281322711629
Q3R011,R02,RE-06,22333.207683068536,109.24666666666667,23.069166666666668,520.7100524902344,23103.873581972974,23803.509793772548,24396.926530384506,0.5533298684609913
Q3R012,R01,RE-05,23528.44919228119,109.20777777777778,23.010833333333334,582.766845703125,24010.59395881161,24647.63964694938,24957.706650621723,0.34547958315299465
Q3R013,R02,RE-02,24905.447823333518,109.24666666666667,23.010833333333334,577.767578125,25337.24006474661,25851.07132695364,26110.369199877146,0.2760149163685742
