运输架次编号,通信阶段,开始时刻,结束时刻,保障方式,中继架次编号
Q3T001,爬升 O01→S012,360.0,480.0,直连,
Q3T001,巡航 O01→S012,455.20033162434896,785.200331624349,直连,
Q3T001,巡航 O01→S012,785.200331624349,1101.7377940649715,中继,Q3R002
Q3T001,下降 O01→S012,1071.7377950649716,1155.1381920141903,中继,Q3R002
Q3T001,投送 S012,1125.1381930141904,1365.1381920141903,中继,Q3R002
Q3T001,爬升 S012→O01,1335.1381930141904,1409.6385236385393,中继,Q3R002
Q3T001,巡航 S012→O01,1379.6385246385394,1679.6385246385394,中继,Q3R002
Q3T001,巡航 S012→O01,1679.6385246385394,2026.1759870791618,直连,
Q3T001,下降 S012→O01,1996.175988079162,2140.416385028381,直连,
Q3T002,爬升 O01→S014,360.0,540.0,直连,
Q3T002,巡航 O01→S014,514.7491292317709,844.7491292317709,直连,
Q3T002,巡航 O01→S014,844.7491292317709,994.7491292317709,中继,Q3R002
Q3T002,下降 O01→S014,965.658887095886,1085.658887095886,中继,Q3R002
Q3T002,投送 S014,1062.037842174011,1302.037841174011,中继,Q3R002
Q3T002,爬升 S014→O01,1272.037842174011,1382.3536370724485,中继,Q3R002
Q3T002,巡航 S014→O01,1352.3536380724486,1502.3536380724486,中继,Q3R002
Q3T002,巡航 S014→O01,1502.3536380724486,1832.3536380724486,直连,
Q3T002,下降 S014→O01,1803.2633959365637,2013.2633959365637,直连,
Q3T003,爬升 O01→S002,420.0,522.5017006601563,直连,
Q3T003,巡航 O01→S002,492.50170166015624,762.5017016601557,直连,
Q3T003,巡航 O01→S002,762.5017016601557,792.5017016601557,中继,Q3R001
Q3T003,巡航 O01→S002,792.5017016601557,1018.1869352160905,中继,Q3R002
Q3T003,下降 O01→S002,988.1869362160905,1048.1869362160905,中继,Q3R002
Q3T003,下降 O01→S002,1032.9140622912857,1062.9140622912857,中继,Q3R001
Q3T003,投送 S002,1032.9140632912859,1386.9140622912857,中继,Q3R001
Q3T003,爬升 S002→O01,1356.9140632912859,1386.9140632912859,中继,Q3R001
Q3T003,爬升 S002→O01,1386.9140632912859,1416.9140632912859,中继,Q3R002
Q3T003,巡航 S002→O01,1392.695764951442,1632.695764951442,中继,Q3R002
Q3T003,巡航 S002→O01,1632.695764951442,1918.3809985073763,直连,
Q3T003,下降 S002→O01,1888.3809995073764,2008.3809995073764,直连,
Q3T004,爬升 O01→S001,510.0,598.1426430429688,直连,
Q3T004,巡航 O01→S001,568.1426440429688,802.3700647955617,直连,
Q3T004,下降 O01→S001,772.3700657955617,846.8983698492726,直连,
Q3T004,投送 S001,816.8983708492726,1278.8983698492725,直连,
Q3T004,爬升 S001→O01,1248.8983708492726,1308.8983708492726,直连,
Q3T004,巡航 S001→O01,1284.5210148922413,1518.748435644834,直连,
Q3T004,下降 S001→O01,1488.748436644834,1591.426740698545,直连,
Q3T005,爬升 O01→S006,1921.4267416985454,2041.4267416985454,直连,
Q3T005,巡航 O01→S006,2016.7858774407327,2256.7858774407327,直连,
Q3T005,下降 O01→S006,2228.854764657792,2284.5036833355266,直连,
Q3T005,投送 S006,2254.5036843355265,2536.5036833355266,直连,
Q3T005,爬升 S006→O01,2506.5036843355265,2557.0228190777143,直连,
Q3T005,巡航 S006→O01,2527.022820077714,2767.022820077714,直连,
Q3T005,下降 S006→O01,2739.0917072947736,2888.290625972508,直连,
Q3T006,爬升 O01→S015,2679.419298968949,2857.4523830926473,直连,
Q3T006,巡航 O01→S015,2827.452384092647,3157.452384092647,直连,
Q3T006,巡航 O01→S015,3157.452384092647,3359.0452121374883,中继,Q3R003
Q3T006,下降 O01→S015,3329.045213137488,3389.045213137488,中继,Q3R003
Q3T006,投送 S015,3367.9649152859256,3607.9649142859257,中继,Q3R003
Q3T006,爬升 S015→O01,3577.9649152859256,3637.9649152859256,中继,Q3R003
Q3T006,巡航 S015→O01,3610.3980004096234,3790.3980004096234,中继,Q3R003
Q3T006,巡航 S015→O01,3790.3980004096234,4141.990828454464,直连,
Q3T006,下降 S015→O01,4111.990829454464,4319.630530602901,直连,
Q3T007,爬升 O01→S003,2713.8107288192095,2888.512107213741,直连,
Q3T007,巡航 O01→S003,2858.5121082137407,3188.5121082137407,直连,
Q3T007,巡航 O01→S003,3188.5121082137407,3488.5121082137407,中继,Q3R003
Q3T007,下降 O01→S003,3463.6017390774687,3582.9233933509063,中继,Q3R003
Q3T007,投送 S003,3552.923394350906,3792.9233933509063,中继,Q3R003
Q3T007,爬升 S003→O01,3762.923394350906,3867.358106078771,中继,Q3R003
Q3T007,巡航 S003→O01,3837.358107078771,4077.358107078771,中继,Q3R003
Q3T007,巡航 S003→O01,4077.358107078771,4137.358107078771,中继,Q3R004
Q3T007,巡航 S003→O01,4137.358107078771,4467.358107078771,直连,
Q3T007,下降 S003→O01,4442.447737942499,4646.089392215936,直连,
Q3T008,爬升 O01→S008,2759.368651182491,2879.368651182491,直连,
Q3T008,巡航 O01→S008,2857.452384092647,3157.452384092647,直连,
Q3T008,巡航 O01→S008,3157.452384092647,3427.452384092647,中继,Q3R003
Q3T008,下降 O01→S008,3398.0839297545263,3479.088594892222,中继,Q3R003
Q3T008,投送 S008,3449.0885958922217,3731.088594892222,中继,Q3R003
Q3T008,爬升 S008→O01,3701.0885958922217,3771.892327802378,中继,Q3R003
Q3T008,巡航 S008→O01,3741.892328802378,4011.892328802378,中继,Q3R003
Q3T008,巡航 S008→O01,4011.892328802378,4311.892328802378,直连,
Q3T008,下降 S008→O01,4282.5238744642575,4432.5238744642575,直连,
Q3T009,爬升 O01→S007,2788.7006801319008,2938.7006801319008,直连,
Q3T009,巡航 O01→S007,2916.79173848151,3186.79173848151,直连,
Q3T009,巡航 O01→S007,3186.79173848151,3246.79173848151,中继,Q3R003
Q3T009,下降 O01→S007,3219.046931680677,3309.046931680677,中继,Q3R003
Q3T009,投送 S007,3284.436201700208,3524.4362007002082,中继,Q3R003
Q3T009,爬升 S007→O01,3494.436201700208,3578.9272590498176,中继,Q3R003
Q3T009,巡航 S007→O01,3548.9272600498175,3608.9272600498175,中继,Q3R003
Q3T009,巡航 S007→O01,3608.9272600498175,3878.9272600498175,直连,
Q3T009,下降 S007→O01,3851.1824532489845,4031.1824532489845,直连,
Q3T010,爬升 O01→S010,2825.5365487255976,2958.1820596071084,直连,
Q3T010,巡航 O01→S010,2928.1820606071083,3258.1820606071083,直连,
Q3T010,巡航 O01→S010,3258.1820606071083,3348.1820606071083,中继,Q3R004
Q3T010,下降 O01→S010,3326.385385742188,3386.385385742188,中继,Q3R004
Q3T010,投送 S010,3360.000000000001,3599.999999000001,中继,Q3R004
Q3T010,爬升 S010→O01,3570.000000000001,3628.012177548178,中继,Q3R004
Q3T010,巡航 S010→O01,3598.012178548178,3688.012178548178,中继,Q3R004
Q3T010,巡航 S010→O01,3688.012178548178,4018.012178548178,直连,
Q3T010,下降 S010→O01,3996.2155036832573,4146.215503683257,直连,
Q3T011,爬升 O01→S013,2846.454412605166,2966.454412605166,直连,
Q3T011,巡航 O01→S013,2936.9483538486556,3266.9483538486556,直连,
Q3T011,巡航 O01→S013,3266.9483538486556,3371.007269507813,中继,Q3R004
Q3T011,下降 O01→S013,3341.007270507813,3389.9999990000006,中继,Q3R004
Q3T011,投送 S013,3360.0000000000005,3599.9999990000006,中继,Q3R004
Q3T011,爬升 S013→O01,3570.0000000000005,3615.8272735768237,中继,Q3R004
Q3T011,巡航 S013→O01,3585.8272745768236,3675.8272745768236,中继,Q3R004
Q3T011,巡航 S013→O01,3675.8272745768236,4019.886190235981,直连,
Q3T011,下降 S013→O01,3989.8861912359807,4128.478919728168,直连,
Q3T012,爬升 O01→S011,3547.292304112597,3637.292304112597,直连,
Q3T012,巡航 O01→S011,3614.3570062610343,3824.3570062610343,直连,
Q3T012,下降 O01→S011,3802.1671212711394,3873.7979979566862,直连,
Q3T012,投送 S011,3843.797998956686,4125.797997956686,直连,
Q3T012,爬升 S011→O01,4095.797998956686,4155.797998956687,直连,
Q3T012,巡航 S011→O01,4129.102701105124,4339.102701105124,直连,
Q3T012,下降 S011→O01,4316.912816115229,4430.7436928007755,直连,
Q3T013,爬升 O01→S010,5274.23152636297,5406.87703724448,直连,
Q3T013,巡航 O01→S010,5376.87703824448,5706.87703824448,直连,
Q3T013,巡航 O01→S010,5706.87703824448,5796.87703824448,中继,Q3R005
Q3T013,下降 O01→S010,5775.0803633795595,5805.0803633795595,中继,Q3R005
Q3T013,下降 O01→S010,5805.0803633795595,5835.0803633795595,中继,Q3R006
Q3T013,投送 S010,5808.694977637372,6018.694976637372,中继,Q3R006
Q3T013,爬升 S010→S014,5988.694977637372,6018.694977637372,中继,Q3R006
Q3T013,爬升 S010→S014,6018.694977637372,6078.694977637372,中继,Q3R005
Q3T013,巡航 S010→S014,6050.6828336757835,6140.6828336757835,中继,Q3R005
Q3T013,巡航 S010→S014,6140.6828336757835,6227.213731676598,中继,Q3R006
Q3T013,下降 S010→S014,6197.213732676599,6301.839158922692,中继,Q3R006
Q3T013,投送 S014,6271.8391599226925,6481.839158922692,中继,Q3R006
Q3T013,爬升 S014→O01,6451.8391599226925,6562.15495482113,中继,Q3R006
Q3T013,巡航 S014→O01,6532.15495582113,6682.15495582113,中继,Q3R006
Q3T013,巡航 S014→O01,6682.15495582113,7012.15495582113,直连,
Q3T013,下降 S014→O01,6983.064713685245,7193.064713685245,直连,
Q3T014,爬升 O01→S009,5321.700734126642,5406.87703724448,直连,
Q3T014,巡航 O01→S009,5376.87703824448,5706.87703824448,直连,
Q3T014,巡航 O01→S009,5706.87703824448,5883.767070012368,中继,Q3R005
Q3T014,下降 O01→S009,5853.767071012368,5909.058634953774,中继,Q3R005
Q3T014,投送 S009,5879.058635953775,6089.058634953774,中继,Q3R005
Q3T014,爬升 S009→S012,6059.058635953775,6132.698507186848,中继,Q3R005
Q3T014,巡航 S009→S012,6102.698508186848,6372.698508186848,中继,Q3R005
Q3T014,下降 S009→S012,6350.021118095315,6410.021118095315,中继,Q3R005
Q3T014,投送 S012,6382.468964775002,6592.468963775002,中继,Q3R005
Q3T014,爬升 S012→O01,6562.468964775002,6636.969295399351,中继,Q3R005
Q3T014,巡航 S012→O01,6606.969296399351,6906.969296399351,中继,Q3R005
Q3T014,巡航 S012→O01,6906.969296399351,7253.506758839973,直连,
Q3T014,下降 S012→O01,7223.506759839974,7367.747156789193,直连,
Q3T015,爬升 O01→S004,6208.437254266089,6328.437254266089,直连,
Q3T015,巡航 O01→S004,6298.616976352678,6688.616976352678,直连,
Q3T015,巡航 O01→S004,6688.616976352678,6838.616976352678,中继,Q3R005
Q3T015,下降 O01→S004,6814.9944724527995,6904.9944724527995,中继,Q3R005
Q3T015,投送 S004,6882.970138956705,7122.970137956705,中继,Q3R005
Q3T015,爬升 S004→O01,7092.970138956705,7179.61652670996,中继,Q3R005
Q3T015,巡航 S004→O01,7149.616527709961,7299.616527709961,中继,Q3R005
Q3T015,巡航 S004→O01,7299.616527709961,7689.616527709961,直连,
Q3T015,下降 S004→O01,7665.994023810083,7804.209689313989,直连,
Q3T016,爬升 O01→S005,9999.363670711435,10089.363670711435,直连,
Q3T016,巡航 O01→S005,10065.60063360206,10335.60063360206,直连,
Q3T016,巡航 O01→S005,10335.60063360206,10365.60063360206,中继,Q3R007
Q3T016,巡航 O01→S005,10365.60063360206,10395.60063360206,直连,
Q3T016,巡航 O01→S005,10395.60063360206,10449.068641345411,中继,Q3R007
Q3T016,下降 O01→S005,10419.068642345412,10501.632996814162,中继,Q3R007
Q3T016,投送 S005,10471.632997814162,10711.632996814162,中继,Q3R007
Q3T016,爬升 S005→O01,10681.632997814162,10755.436626371453,中继,Q3R007
Q3T016,巡航 S005→O01,10725.436627371453,10785.436627371453,中继,Q3R007
Q3T016,巡航 S005→O01,10785.436627371453,11108.904635114804,直连,
Q3T016,下降 S005→O01,11078.904636114805,11188.388990583555,直连,
Q3T017,爬升 O01→S009,10002.642098172866,10087.818401290704,直连,
Q3T017,巡航 O01→S009,10057.818402290704,10327.818402290704,直连,
Q3T017,巡航 O01→S009,10327.818402290704,10469.330427505014,中继,Q3R007
