K,canonical_units,transport_zero_augmentation,all_inventory_feasible,total_shortage,shortage_resource_types,relay_copy_count,relay_delta_energy_kWh,CV_transport_workload,CV_joint_workload,max_min_transport_workload_ratio,geo_compactness_km,pareto,selected,theoretical_relay_min,total_A_drone,total_B_drone,total_C_drone,total_A_battery,total_B_battery,total_C_battery,total_relay_drone,total_relay_energy,shortage_A_drone,shortage_B_drone,shortage_C_drone,shortage_A_battery,shortage_B_battery,shortage_C_battery,shortage_relay_drone,shortage_relay_energy,group_1_services,group_2_services
2,"1,2,3,4,5,6,7,9|8",False,False,2,2,3,1.7154152559103972,0.7514508986203003,0.6936137670962307,7.046699782449308,,1,0,0,5,2,2,6,2,4,3,5,1,0,0,0,0,0,1,0,S001;S002;S003;S004;S005;S006;S007;S008;S010;S011;S013;S014;S015,S009;S012
2,"1,2,3,4,6,7,8,9|5",False,False,3,3,1,0.2680853320277899,0.7989051443542252,0.8110249749203756,8.94555526334779,,1,0,1,4,2,3,6,2,5,3,5,0,0,1,0,0,1,1,0,S001;S002;S003;S004;S006;S007;S008;S009;S010;S012;S013;S014;S015,S005;S011
2,"1,2,3,4,6,7,9|5,8",False,False,5,5,2,1.4473299238826074,0.5503560429745256,0.5392123484310641,3.4479637027273347,,1,0,0,5,3,3,6,3,5,3,5,1,1,1,0,0,1,1,0,S001;S002;S003;S004;S006;S007;S008;S010;S013;S014;S015,S005;S009;S011;S012
2,"1,2,3,4,7,8,9|5,6",False,False,4,3,3,1.499371827366163,0.5794321728390659,0.5745869789686403,3.7554755043939245,,1,0,0,4,2,3,6,2,6,3,5,0,0,1,0,0,2,1,0,S001;S002;S003;S004;S008;S009;S010;S012;S013;S014;S015,S005;S006;S007;S011
2,"1,2,3,5,6|4,7,8,9",False,False,5,3,6,2.9923312231621098,0.053721230390741434,0.028875650005674814,1.1135420810781251,,1,0,0,4,2,3,6,2,4,4,8,0,0,1,0,0,0,2,2,S001;S002;S003;S005;S006;S007;S011;S013,S004;S008;S009;S010;S012;S014;S015
2,"1,2,3,5,9|4,6,7,8",False,False,5,3,5,2.8000350139965877,0.07906555781580904,0.1396886193728457,1.1717072447161132,,1,0,0,4,2,4,6,2,5,4,6,0,0,2,0,0,1,2,0,S001;S002;S003;S005;S010;S011;S013;S014,S004;S006;S007;S008;S009;S012;S015
2,"1,2,3,6,7,8,9|4,5",False,False,3,3,3,1.894208891450802,0.628744625146815,0.5788011591162886,4.387127393888669,,1,0,0,4,2,3,6,2,5,3,5,0,0,1,0,0,1,1,0,S001;S002;S003;S006;S007;S008;S009;S010;S012;S013;S014;S015,S004;S005;S011
2,"1,2,3,6,7,9|4,5,8",False,False,5,5,3,2.147326529595781,0.3801955237671153,0.3913385906193085,2.226824065801877,,1,0,0,5,3,3,6,3,5,3,5,1,1,1,0,0,1,1,0,S001;S002;S003;S006;S007;S008;S010;S013;S014;S015,S004;S005;S009;S011;S012
2,"1,2,4,5,8,9|3,6,7",False,False,7,4,3,1.6717530313363516,0.3027428393133676,0.2921069002599436,1.868382159073814,,1,0,0,4,3,4,6,3,6,4,5,0,1,2,0,0,2,2,0,S001;S002;S004;S005;S009;S010;S011;S012;S013;S014,S003;S006;S007;S008;S015
2,"1,2,4,5,9|3,6,7,8",False,False,6,3,6,3.387168287246749,0.05419373793366799,0.06055218805653681,1.1145979681193257,,1,0,0,4,2,4,6,2,6,4,6,0,0,2,0,0,2,2,0,S001;S002;S004;S005;S010;S011;S013;S014,S003;S006;S007;S008;S009;S012;S015
2,"1,2,5,8,9|3,4,6,7",False,False,7,4,3,1.8978833793330159,0.13258232010595739,0.11669190665182372,1.305694299710729,,1,0,0,4,3,4,6,3,6,4,6,0,1,2,0,0,2,2,0,S001;S002;S005;S009;S010;S011;S012;S013;S014,S003;S004;S006;S007;S008;S015
2,"1,2,8,9|3,4,5,6,7",False,False,6,3,4,2.1659687113608057,0.06851253553981741,0.04375702632113966,1.1471035052082466,,1,0,0,4,2,4,6,2,6,4,6,0,0,2,0,0,2,2,0,S001;S002;S009;S010;S012;S013;S014,S003;S004;S005;S006;S007;S008;S011;S015
2,"1,3,4,5,6,7,8,9|2",False,False,3,2,1,0.5212029701727692,0.8356904089820367,0.7350102624959751,11.172143985078424,,1,0,0,4,2,3,6,2,4,4,6,0,0,1,0,0,0,2,0,S001;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015,S002
2,"1,3,4,5,6,7,8|2,9",False,False,3,2,3,1.8657564810447937,0.5908731100418098,0.41362307099250417,3.888458933130465,,1,0,0,4,2,3,6,2,4,4,6,0,0,1,0,0,0,2,0,S001;S003;S004;S005;S006;S007;S008;S009;S011;S012;S013;S015,S002;S010;S014
2,"1,3,4,5,6,7|2,8,9",False,False,4,3,3,1.6126388428998144,0.3423240086621101,0.23194660213542667,2.041011115414844,,1,0,0,5,2,3,6,2,4,4,6,1,0,1,0,0,0,2,0,S001;S003;S004;S005;S006;S007;S008;S011;S013;S015,S002;S009;S010;S012;S014
2,"1,3,4,5,6|2,7,8,9",False,False,5,4,5,2.697258600986005,0.05957215858018821,0.020049592042187273,1.1266916098320718,,1,0,0,4,2,3,6,2,5,4,7,0,0,1,0,0,1,2,1,S001;S003;S004;S005;S006;S007;S011;S013,S002;S008;S009;S010;S012;S014;S015
2,"1,3,4,6,7,8,9|2,5",False,False,4,3,2,0.789288302200559,0.6345955533362617,0.554832477715597,4.473387142002928,,1,0,0,4,2,3,6,2,5,4,6,0,0,1,0,0,1,2,0,S001;S003;S004;S006;S007;S008;S009;S010;S012;S013;S014;S015,S002;S005;S011
2,"1,3,5,6,7|2,4,8,9",False,False,5,4,3,1.38650849490315,0.17216348945469986,0.05759137586301379,1.415935966248444,,1,0,0,5,2,3,6,2,5,4,6,1,0,1,0,0,1,2,0,S001;S003;S005;S006;S007;S008;S011;S013;S015,S002;S004;S009;S010;S012;S014
2,"1,3,5,6|2,4,7,8,9",True,False,2,1,5,2.471128252989341,0.11058836062722205,0.18793872903718234,1.2486775655538083,,1,1,0,4,2,2,6,2,4,4,6,0,0,0,0,0,0,2,0,S001;S003;S005;S006;S007;S011;S013,S002;S004;S008;S009;S010;S012;S014;S015
2,"1,3,5|2,4,6,7,8,9",False,False,4,3,4,1.7711316472761667,0.33006133214238126,0.35512178873415884,1.985347907138654,,1,0,0,4,2,3,6,2,5,4,6,0,0,1,0,0,1,2,0,S001;S003;S005;S011;S013,S002;S004;S006;S007;S008;S009;S010;S012;S014;S015
2,"1,3,6,7|2,4,5,8,9",False,False,6,5,2,1.1184231628753603,0.028931366191075027,0.1082002391353979,1.0595866557394495,,1,0,0,5,3,3,6,3,5,4,5,1,1,1,0,0,1,2,0,S001;S003;S006;S007;S008;S013;S015,S002;S004;S005;S009;S010;S011;S012;S014
2,"1,3,7,8|2,4,5,6,9",False,False,7,4,5,2.6651317026977828,0.0001447636734653842,0.06348333511905929,1.0002895692660414,,1,0,0,4,2,4,6,2,6,4,7,0,0,2,0,0,2,2,1,S001;S003;S008;S009;S012;S013;S015,S002;S004;S005;S006;S007;S010;S011;S014
2,"1,3,7,9|2,4,5,6,8",False,False,8,5,3,1.9786198135078066,0.003587038766007424,0.009632804929910825,1.0071999038662949,,1,0,0,5,2,4,6,2,6,4,7,1,0,2,0,0,2,2,1,S001;S003;S008;S010;S013;S014;S015,S002;S004;S005;S006;S007;S009;S011;S012
2,"1,3,7|2,4,5,6,8,9",False,False,7,4,2,0.9497164467873855,0.24840433770623427,0.30307206167386463,1.6610052456879238,,1,0,0,5,2,4,6,2,6,4,6,1,0,2,0,0,2,2,0,S001;S003;S008;S013;S015,S002;S004;S005;S006;S007;S009;S010;S011;S012;S014
2,"1,4,5,6,7|2,3,8,9",False,False,5,4,4,2.143928732525014,0.1472916695725589,0.036257180513165205,1.3454678799695208,,1,0,0,4,2,3,6,2,5,4,7,0,0,1,0,0,1,2,1,S001;S004;S005;S006;S007;S008;S011;S013;S015,S002;S003;S009;S010;S012;S014
2,"1,4,5,8|2,3,6,7,9",False,False,5,4,5,3.119082955218959,0.10638405064482265,0.18025917655777676,1.238097922763326,,1,0,0,4,3,3,6,3,6,3,6,0,1,1,0,0,2,1,0,S001;S004;S005;S009;S011;S012;S013,S002;S003;S006;S007;S008;S010;S014;S015
2,"1,4,5|2,3,6,7,8,9",False,False,4,3,5,2.8659653170739796,0.35493315202452225,0.35759733050341286,2.100453861916696,,1,0,0,4,2,3,6,2,6,3,6,0,0,1,0,0,2,1,0,S001;S004;S005;S011;S013,S002;S003;S006;S007;S008;S009;S010;S012;S014;S015
