K,canonical_units,transport_zero_augmentation,all_inventory_feasible,total_shortage,shortage_resource_types,relay_copy_count,relay_delta_energy_kWh,CV_transport_workload,CV_joint_workload,max_min_transport_workload_ratio,geo_compactness_km,pareto,selected,theoretical_relay_min,total_A_drone,total_B_drone,total_C_drone,total_A_battery,total_B_battery,total_C_battery,total_relay_drone,total_relay_energy,shortage_A_drone,shortage_B_drone,shortage_C_drone,shortage_A_battery,shortage_B_battery,shortage_C_battery,shortage_relay_drone,shortage_relay_energy,group_1_services,group_2_services,group_3_services
3,"1,2,3,4,6,7,9|5|8",False,False,6,5,3,1.7154152559103972,0.9377444974851146,0.9054620686030537,7.709575851634172,,1,0,1,5,3,3,6,3,5,4,6,1,1,1,0,0,1,2,0,S001;S002;S003;S004;S006;S007;S008;S010;S013;S014;S015,S005;S011,S009;S012
3,"1,2,3,4,6,8,9|5|7",False,False,8,4,3,1.3527050901139803,0.902403136668156,0.90157200402284,7.539493187945999,,1,0,0,4,2,4,6,2,6,5,7,0,0,2,0,0,2,3,1,S001;S002;S003;S004;S006;S007;S009;S010;S012;S013;S014,S005;S011,S008;S015
3,"1,2,3,7,8,9|4,5|6",False,False,7,4,4,2.425498781076001,0.7931167311528489,0.7340996680593327,6.42116267849554,,1,0,0,4,3,4,6,3,6,4,6,0,1,2,0,0,2,2,0,S001;S002;S003;S008;S009;S010;S012;S013;S014;S015,S004;S005;S011,S006;S007
3,"1,2,3,7,9|4,5,8|6",False,False,8,5,4,2.6786164192209805,0.5785344527059144,0.5780344184364722,5.288681081040466,,1,0,0,5,3,4,6,3,6,4,6,1,1,2,0,0,2,2,0,S001;S002;S003;S008;S010;S013;S014;S015,S004;S005;S009;S011;S012,S006;S007
3,"1,2,3,7,9|4,8|5,6",False,False,8,4,5,2.9467017512487703,0.5240266359556777,0.51864640692944,2.772142065005347,,1,0,0,5,2,4,6,2,7,4,6,1,0,2,0,0,3,2,0,S001;S002;S003;S008;S010;S013;S014;S015,S004;S009;S012,S005;S006;S007;S011
3,"1,2,3,9|4,7,8|5,6",False,False,8,4,7,4.03132150933496,0.2825217415682018,0.3322981465402834,2.087584083872566,,1,0,0,4,2,4,6,2,6,5,7,0,0,2,0,0,2,3,1,S001;S002;S003;S010;S013;S014,S004;S008;S009;S012;S015,S005;S006;S007;S011
3,"1,2,4,5,8,9|3,7|6",False,False,8,4,4,2.2030429209615505,0.6929565401398871,0.6490982155760789,5.935778015487367,,1,0,0,4,3,4,6,3,6,5,6,0,1,2,0,0,2,3,0,S001;S002;S004;S005;S009;S010;S011;S012;S013;S014,S003;S008;S015,S006;S007
3,"1,2,4,8,9|3,7|5,6",False,False,8,3,5,2.471128252989341,0.46269588439707154,0.4627960461654165,2.619430000398098,,1,0,0,4,2,4,6,2,7,5,6,0,0,2,0,0,3,3,0,S001;S002;S004;S009;S010;S012;S013;S014,S003;S008;S015,S005;S006;S007;S011
3,"1,2,9|3,5,6|4,7,8",False,False,9,4,7,3.918458176871948,0.05533918562715471,0.10135478821587529,1.1394757654818595,,1,0,0,4,2,4,6,2,6,6,7,0,0,2,0,0,2,4,1,S001;S002;S010;S013;S014,S003;S005;S006;S007;S011,S004;S008;S009;S012;S015
3,"1,2,9|3,5,8|4,6,7",False,False,12,5,6,3.8765031928408225,0.02420301223623578,0.06981648715534418,1.0593508202427073,,1,0,0,4,3,5,6,3,6,6,8,0,1,3,0,0,2,4,2,S001;S002;S010;S013;S014,S003;S005;S009;S011;S012,S004;S006;S007;S008;S015
