relay_trip,actual_transport_trips,unit_hyperedge,edge_size,relay_energy_kWh
Q3R001,Q3T003,U2,1,0.5776717532866653
Q3R002,"Q3T001,Q3T002,Q3T003","U2,U8,U9",3,0.5212029701727692
Q3R003,"Q3T006,Q3T007,Q3T008,Q3T009","U3,U6,U7",3,0.5312898896251991
Q3R004,"Q3T007,Q3T010,Q3T011","U1,U3,U9",3,0.4184265571621864
Q3R005,"Q3T013,Q3T014,Q3T015","U4,U8,U9",3,0.9261269537098382
Q3R006,Q3T013,U9,1,0.8081787555375551
Q3R007,"Q3T016,Q3T017","U5,U8",2,0.2680853320277899
Q3R008,Q3T018,U3,1,0.5703829746324699
Q3R009,"Q3T019,Q3T020","U4,U6",2,0.6999966057131739
Q3R010,Q3T021,U2,1,0.5633281322711629
Q3R011,"Q3T023,Q3T024","U1,U7",2,0.5533298684609913
Q3R012,Q3T024,U7,1,0.3454795831529947
Q3R013,Q3T025,U5,1,0.2760149163685742
