K,canonical_units,transport_zero_augmentation,all_inventory_feasible,total_shortage,shortage_resource_types,relay_copy_count,relay_delta_energy_kWh,CV_transport_workload,CV_joint_workload,max_min_transport_workload_ratio,geo_compactness_km,pareto,selected,theoretical_relay_min,total_A_drone,total_B_drone,total_C_drone,total_A_battery,total_B_battery,total_C_battery,total_relay_drone,total_relay_energy,shortage_A_drone,shortage_B_drone,shortage_C_drone,shortage_A_battery,shortage_B_battery,shortage_C_battery,shortage_relay_drone,shortage_relay_energy,group_1_services,group_2_services
2,"1,2,3,4,5,6,7,8|9",True,False,3,2,3,1.8657564810447937,0.7551827010597731,0.6137880232312557,7.169357347939324,,0,0,0,4,2,2,6,2,4,4,7,0,0,0,0,0,0,2,1,S001;S002;S003;S004;S005;S006;S007;S008;S009;S011;S012;S013;S015,S010;S014
2,"1,2,3,4,5,6,7,9|8",False,False,2,2,3,1.7154152559103972,0.7514508986203003,0.6936137670962307,7.046699782449308,,1,0,0,5,2,2,6,2,4,3,5,1,0,0,0,0,0,1,0,S001;S002;S003;S004;S005;S006;S007;S008;S010;S011;S013;S014;S015,S009;S012
2,"1,2,3,4,5,6,7|8,9",False,False,4,3,4,2.133841813072584,0.5066335996800736,0.44768341215240215,3.0537823384468177,,0,0,0,5,2,2,6,2,4,4,7,1,0,0,0,0,0,2,1,S001;S002;S003;S004;S005;S006;S007;S008;S011;S013;S015,S009;S010;S012;S014
2,"1,2,3,4,5,6,8,9|7",False,False,4,3,2,1.0846197580861903,0.7172481499180781,0.6881453759300499,6.07334010164934,,0,0,0,4,2,3,6,2,5,4,6,0,0,1,0,0,1,2,0,S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S012;S013;S014,S008;S015
2,"1,2,3,4,5,6,8|7,9",False,False,6,4,5,2.9503762391309842,0.4724308509778513,0.3458658258586248,2.7909722426093473,,0,0,0,4,2,3,6,2,5,4,8,0,0,1,0,0,1,2,2,S001;S002;S003;S004;S005;S006;S007;S009;S011;S012;S013,S008;S010;S014;S015
2,"1,2,3,4,5,6,9|7,8",False,False,4,3,5,2.8000350139965877,0.4686990485383785,0.4203072583782075,2.7643448491819047,,0,0,0,4,2,3,6,2,5,4,6,0,0,1,0,0,1,2,0,S001;S002;S003;S004;S005;S006;S007;S010;S011;S013;S014,S008;S009;S012;S015
2,"1,2,3,4,5,6|7,8,9",False,False,6,4,6,3.218461571158774,0.22388174959815169,0.19122560533761557,1.5769269038119722,,0,0,0,4,2,3,6,2,5,4,8,0,0,1,0,0,1,2,2,S001;S002;S003;S004;S005;S006;S007;S011;S013,S008;S009;S010;S012;S014;S015
2,"1,2,3,4,5,7,8,9|6",False,False,4,4,2,1.2312864953383729,0.7805270284848408,0.7488229090881405,8.112739423869591,,0,0,0,4,3,3,6,3,5,3,5,0,1,1,0,0,1,1,0,S001;S002;S003;S004;S005;S008;S009;S010;S011;S012;S013;S014;S015,S006;S007
2,"1,2,3,4,5,7,8|6,9",False,False,7,5,5,3.097042976383167,0.5357097295446139,0.40407342042847205,3.3076500354796496,,0,0,0,4,3,3,6,3,5,4,8,0,1,1,0,0,1,2,2,S001;S002;S003;S004;S005;S008;S009;S011;S012;S013;S015,S006;S007;S010;S014
2,"1,2,3,4,5,7,9|6,8",False,False,5,4,5,2.9467017512487703,0.531977927105141,0.4783122867231931,3.2733027261500545,,0,0,0,5,2,3,6,2,5,4,6,1,0,1,0,0,1,2,0,S001;S002;S003;S004;S005;S008;S010;S011;S013;S014;S015,S006;S007;S009;S012
