K,canonical_units,transport_zero_augmentation,all_inventory_feasible,total_shortage,shortage_resource_types,relay_copy_count,relay_delta_energy_kWh,CV_transport_workload,CV_joint_workload,max_min_transport_workload_ratio,geo_compactness_km,pareto,selected,theoretical_relay_min,total_A_drone,total_B_drone,total_C_drone,total_A_battery,total_B_battery,total_C_battery,total_relay_drone,total_relay_energy,shortage_A_drone,shortage_B_drone,shortage_C_drone,shortage_A_battery,shortage_B_battery,shortage_C_battery,shortage_relay_drone,shortage_relay_energy,group_1_services,group_2_services,group_3_services
3,"1,2,3,4,5,6,7|8|9",False,False,6,3,6,3.581171736955191,0.8909224023485354,0.7370125028235486,6.154114134099342,,0,0,0,5,2,2,6,2,4,5,8,1,0,0,0,0,0,3,2,S001;S002;S003;S004;S005;S006;S007;S008;S011;S013;S015,S009;S012,S010;S014
3,"1,2,3,4,5,6,8|7|9",False,False,9,4,5,2.9503762391309842,0.854957628846233,0.722114783739863,6.01440689588423,,0,0,0,4,2,3,6,2,5,6,9,0,0,1,0,0,1,4,3,S001;S002;S003;S004;S005;S006;S007;S009;S011;S012;S013,S008;S015,S010;S014
3,"1,2,3,4,5,6|7,8|9",False,False,9,4,8,4.665791495041381,0.6165039017823685,0.4977807586644041,4.999163682044248,,0,0,0,4,2,3,6,2,5,6,9,0,0,1,0,0,1,4,3,S001;S002;S003;S004;S005;S006;S007;S011;S013,S008;S009;S012;S015,S010;S014
3,"1,2,3,4,5,6,9|7|8",False,False,7,5,5,2.8000350139965877,0.850941607734754,0.7993594511047217,5.909090157178638,,0,0,0,5,2,3,6,2,5,5,7,1,0,1,0,0,1,3,1,S001;S002;S003;S004;S005;S006;S007;S010;S011;S013;S014,S008;S015,S009;S012
3,"1,2,3,4,5,6|7,9|8",False,False,9,5,8,4.665791495041381,0.6152189040065595,0.5259739938179093,4.924104504117563,,0,0,0,5,2,3,6,2,5,5,9,1,0,1,0,0,1,3,3,S001;S002;S003;S004;S005;S006;S007;S011;S013,S008;S010;S014;S015,S009;S012
3,"1,2,3,4,5,6|7|8,9",False,False,10,5,6,3.218461571158774,0.6049249234546533,0.5760251888684812,4.328465929554681,,0,0,0,5,2,3,6,2,5,6,9,1,0,1,0,0,1,4,3,S001;S002;S003;S004;S005;S006;S007;S011;S013,S008;S015,S009;S010;S012;S014
3,"1,2,3,4,5,7,8|6|9",False,False,8,5,5,3.097042976383167,0.9218900158793646,0.7864435551631894,6.997261298020656,,0,0,0,4,3,3,6,3,5,5,8,0,1,1,0,0,1,3,2,S001;S002;S003;S004;S005;S008;S009;S011;S012;S013;S015,S006;S007,S010;S014
3,"1,2,3,4,5,7|6,8|9",False,False,10,5,8,4.812458232293563,0.6721770525362453,0.5493994257083491,5.25763756783862,,0,0,0,5,2,3,6,2,5,6,9,1,0,1,0,0,1,4,3,S001;S002;S003;S004;S005;S008;S011;S013;S015,S006;S007;S009;S012,S010;S014
3,"1,2,3,4,5,7,9|6|8",False,False,6,5,5,2.9467017512487703,0.9179738872210833,0.8615959743416458,6.980257826414517,,0,0,0,5,3,3,6,3,5,4,6,1,1,1,0,0,1,2,0,S001;S002;S003;S004;S005;S008;S010;S011;S013;S014;S015,S006;S007,S009;S012
3,"1,2,3,4,5,7|6,9|8",False,False,10,6,8,4.812458232293563,0.671262575525082,0.5700517885264619,5.178697573315965,,0,0,0,5,3,3,6,3,5,5,9,1,1,1,0,0,1,3,3,S001;S002;S003;S004;S005;S008;S011;S013;S015,S006;S007;S010;S014,S009;S012
3,"1,2,3,4,5,7|6|8,9",False,False,9,6,6,3.3651283084109567,0.6791693122235238,0.6442373203662342,5.864779700565582,,0,0,0,5,3,3,6,3,5,5,8,1,1,1,0,0,1,3,2,S001;S002;S003;S004;S005;S008;S011;S013;S015,S006;S007,S009;S010;S012;S014
