K,group,trip_id,type,new_drone,new_battery,start,return,charge_end,services
3,1,Q3T007,A,G1-AU-01,G1-AB-01,2353.81072881921,4616.089393215936,5977.318390358686,S003
3,1,Q3T011,A,G1-AU-02,G1-AB-02,2486.454412605166,4098.478920728168,5164.050583789175,S013
3,1,Q3T009,B,G1-BU-01,G1-BB-01,2428.700680131901,4004.891723268516,5364.783782543717,S007
3,1,Q3T016,B,G1-BU-01,G1-BB-01,9639.363670711435,11158.38899158356,12595.65621785464,S005
3,1,Q3T004,C,G1-CU-01,G1-CB-01,0.0,1561.426741698545,3187.292304112597,S001
3,1,Q3T005,C,G1-CU-01,G1-CB-02,1561.426741698545,2858.290626972508,4261.467868076055,S006
3,1,Q3T012,C,G1-CU-01,G1-CB-01,3187.292304112597,4400.743693800776,5737.574868104322,S011
3,1,Q3T018,C,G1-CU-01,G1-CB-01,15163.04043417625,17598.85129228868,20097.20776769112,S003
3,1,Q3T019,C,G1-CU-01,G1-CB-02,17598.85129228868,20012.63070510947,22007.33927145802,S006→S007
3,1,Q3T022,C,G1-CU-01,G1-CB-01,20097.20776769112,21394.63450938967,22827.34915626787,S001
3,1,Q3T023,C,G1-CU-01,G1-CB-02,22007.33927145802,24132.24338983704,25978.02751444707,S001→S013
3,1,Q3T025,C,G1-CU-01,G1-CB-01,24132.24338983704,26243.89478003293,28179.48890897155,S011→S005
3,2,Q3T001,A,G2-AU-01,G2-AB-01,0.0,2110.416386028381,3465.83545316749,S012
3,2,Q3T006,A,G2-AU-01,G2-AB-02,2319.419298968949,4289.630531602902,5504.844796485608,S015
3,2,Q3T014,A,G2-AU-01,G2-AB-01,4961.700734126642,7337.747157789192,8751.068148524155,S009→S012
3,2,Q3T015,B,G2-BU-01,G2-BB-01,5848.437254266089,7774.20969031399,9561.632127594723,S004
3,2,Q3T017,B,G2-BU-01,G2-BB-01,9642.642098172866,11143.42188871998,12626.86575196949,S009
3,2,Q3T003,C,G2-CU-01,G2-CB-01,0.0,1979.008126582572,4261.435121894063,S002
3,2,Q3T008,C,G2-CU-01,G2-CB-02,2399.368651182491,4405.128540601952,6656.822030952311,S008
3,2,Q3T020,C,G2-CU-01,G2-CB-01,17778.85129228868,19952.03678375651,22285.78984906282,S004
3,2,Q3T021,C,G2-CU-01,G2-CB-02,19952.03678375651,21931.04491033908,24149.93780371104,S002
3,2,Q3T024,C,G2-CU-01,G2-CB-01,22285.78984906282,25120.9635378708,27665.68412089357,S008→S015
3,3,Q3T002,A,G3-AU-01,G3-AB-01,0.0,1988.962351014689,3149.840017751243,S014
3,3,Q3T010,A,G3-AU-01,G3-AB-02,2465.536548725598,4119.39011794107,5183.457866817256,S010
3,3,Q3T013,A,G3-AU-01,G3-AB-01,4914.23152636297,7168.76366876337,8385.082649783493,S010→S014
