K,canonical_units,transport_zero_augmentation,all_inventory_feasible,total_shortage,shortage_resource_types,relay_copy_count,relay_delta_energy_kWh,CV_transport_workload,CV_joint_workload,max_min_transport_workload_ratio,geo_compactness_km,pareto,selected,theoretical_relay_min,total_A_drone,total_B_drone,total_C_drone,total_A_battery,total_B_battery,total_C_battery,total_relay_drone,total_relay_energy,shortage_A_drone,shortage_B_drone,shortage_C_drone,shortage_A_battery,shortage_B_battery,shortage_C_battery,shortage_relay_drone,shortage_relay_energy,group_1_services,group_2_services
2,"1,2,3,4,5,6,7,9|8",False,False,2,2,3,1.7154152559103972,0.7514508986203003,0.6936137670962306,7.046699782449307,56.33896191291176,1,0,0,5,2,2,6,2,4,3,5,1,0,0,0,0,0,1,0,S001;S002;S003;S004;S005;S006;S007;S008;S010;S011;S013;S014;S015,S009;S012
2,"1,2,3,4,6,7,8,9|5",False,False,3,3,1,0.2680853320277899,0.7989051443542253,0.8110249749203756,8.945555263347794,60.34390136849629,1,0,1,4,2,3,6,2,5,3,5,0,0,1,0,0,1,1,0,S001;S002;S003;S004;S006;S007;S008;S009;S010;S012;S013;S014;S015,S005;S011
2,"1,2,3,4,6,7,9|5,8",False,False,5,5,2,1.4473299238826074,0.5503560429745255,0.539212348431064,3.4479637027273338,60.368676800470226,1,0,0,5,3,3,6,3,5,3,5,1,1,1,0,0,1,1,0,S001;S002;S003;S004;S006;S007;S008;S010;S013;S014;S015,S005;S009;S011;S012
2,"1,2,3,4,7,8,9|5,6",False,False,4,3,3,1.499371827366163,0.5794321728390659,0.5745869789686402,3.7554755043939245,54.264546411244204,1,0,0,4,2,3,6,2,6,3,5,0,0,1,0,0,2,1,0,S001;S002;S003;S004;S008;S009;S010;S012;S013;S014;S015,S005;S006;S007;S011
2,"1,2,3,5,6|4,7,8,9",False,False,5,3,6,2.9923312231621098,0.0537212303907415,0.028875650005674814,1.1135420810781251,56.950263964105005,1,0,0,4,2,3,6,2,4,4,8,0,0,1,0,0,0,2,2,S001;S002;S003;S005;S006;S007;S011;S013,S004;S008;S009;S010;S012;S014;S015
2,"1,2,3,5,9|4,6,7,8",False,False,5,3,5,2.8000350139965877,0.07906555781580904,0.13968861937284563,1.1717072447161132,57.78828151280889,1,0,0,4,2,4,6,2,5,4,6,0,0,2,0,0,1,2,0,S001;S002;S003;S005;S010;S011;S013;S014,S004;S006;S007;S008;S009;S012;S015
2,"1,2,3,6,7,8,9|4,5",False,False,3,3,3,1.894208891450802,0.6287446251468151,0.5788011591162887,4.387127393888671,59.04347456404765,1,0,0,4,2,3,6,2,5,3,5,0,0,1,0,0,1,1,0,S001;S002;S003;S006;S007;S008;S009;S010;S012;S013;S014;S015,S004;S005;S011
2,"1,2,3,6,7,9|4,5,8",False,False,5,5,3,2.147326529595781,0.3801955237671153,0.3913385906193085,2.226824065801877,58.604684861356475,1,0,0,5,3,3,6,3,5,3,5,1,1,1,0,0,1,1,0,S001;S002;S003;S006;S007;S008;S010;S013;S014;S015,S004;S005;S009;S011;S012
2,"1,2,4,5,8,9|3,6,7",False,False,7,4,3,1.6717530313363516,0.3027428393133675,0.29210690025994357,1.8683821590738137,44.11594548311655,1,0,0,4,3,4,6,3,6,4,5,0,1,2,0,0,2,2,0,S001;S002;S004;S005;S009;S010;S011;S012;S013;S014,S003;S006;S007;S008;S015
2,"1,2,4,5,9|3,6,7,8",False,False,6,3,6,3.387168287246749,0.054193737933668,0.06055218805653681,1.1145979681193257,55.50853978390917,1,0,0,4,2,4,6,2,6,4,6,0,0,2,0,0,2,2,0,S001;S002;S004;S005;S010;S011;S013;S014,S003;S006;S007;S008;S009;S012;S015
2,"1,2,5,8,9|3,4,6,7",False,False,7,4,3,1.8978833793330159,0.13258232010595739,0.11669190665182372,1.3056942997107293,46.32316360155564,1,0,0,4,3,4,6,3,6,4,6,0,1,2,0,0,2,2,0,S001;S002;S005;S009;S010;S011;S012;S013;S014,S003;S004;S006;S007;S008;S015
2,"1,2,8,9|3,4,5,6,7",False,False,6,3,4,2.1659687113608057,0.06851253553981741,0.04375702632113966,1.1471035052082466,43.407741590700866,1,0,0,4,2,4,6,2,6,4,6,0,0,2,0,0,2,2,0,S001;S002;S009;S010;S012;S013;S014,S003;S004;S005;S006;S007;S008;S011;S015
2,"1,3,4,5,6,7,8,9|2",False,False,3,2,1,0.5212029701727692,0.8356904089820367,0.7350102624959751,11.172143985078424,57.42832260102223,1,0,0,4,2,3,6,2,4,4,6,0,0,1,0,0,0,2,0,S001;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015,S002
2,"1,3,4,5,6,7,8|2,9",False,False,3,2,3,1.8657564810447937,0.5908731100418096,0.41362307099250406,3.888458933130464,54.031053912439475,1,0,0,4,2,3,6,2,4,4,6,0,0,1,0,0,0,2,0,S001;S003;S004;S005;S006;S007;S008;S009;S011;S012;S013;S015,S002;S010;S014
2,"1,3,4,5,6,7|2,8,9",False,False,4,3,3,1.6126388428998144,0.3423240086621101,0.23194660213542667,2.041011115414844,49.46657674047276,1,0,0,5,2,3,6,2,4,4,6,1,0,1,0,0,0,2,0,S001;S003;S004;S005;S006;S007;S008;S011;S013;S015,S002;S009;S010;S012;S014
2,"1,3,4,5,6|2,7,8,9",False,False,5,4,5,2.697258600986005,0.05957215858018821,0.020049592042187356,1.1266916098320718,55.5436930548255,1,0,0,4,2,3,6,2,5,4,7,0,0,1,0,0,1,2,1,S001;S003;S004;S005;S006;S007;S011;S013,S002;S008;S009;S010;S012;S014;S015
2,"1,3,4,6,7,8,9|2,5",False,False,4,3,2,0.789288302200559,0.6345955533362617,0.554832477715597,4.473387142002929,60.52149025436479,1,0,0,4,2,3,6,2,5,4,6,0,0,1,0,0,1,2,0,S001;S003;S004;S006;S007;S008;S009;S010;S012;S013;S014;S015,S002;S005;S011
2,"1,3,5,6,7|2,4,8,9",False,False,5,4,3,1.38650849490315,0.17216348945469992,0.05759137586301388,1.4159359662484443,49.084494358373576,1,0,0,5,2,3,6,2,5,4,6,1,0,1,0,0,1,2,0,S001;S003;S005;S006;S007;S008;S011;S013;S015,S002;S004;S009;S010;S012;S014
2,"1,3,5,6|2,4,7,8,9",True,False,2,1,5,2.471128252989341,0.1105883606272221,0.18793872903718234,1.2486775655538085,53.117473143351724,1,1,0,4,2,2,6,2,4,4,6,0,0,0,0,0,0,2,0,S001;S003;S005;S006;S007;S011;S013,S002;S004;S008;S009;S010;S012;S014;S015
2,"1,3,5|2,4,6,7,8,9",False,False,4,3,4,1.7711316472761667,0.33006133214238126,0.35512178873415884,1.985347907138654,60.363947592159754,1,0,0,4,2,3,6,2,5,4,6,0,0,1,0,0,1,2,0,S001;S003;S005;S011;S013,S002;S004;S006;S007;S008;S009;S010;S012;S014;S015
2,"1,3,6,7|2,4,5,8,9",False,False,6,5,2,1.1184231628753603,0.028931366191075027,0.1082002391353979,1.0595866557394495,53.084688589968835,1,0,0,5,3,3,6,3,5,4,5,1,1,1,0,0,1,2,0,S001;S003;S006;S007;S008;S013;S015,S002;S004;S005;S009;S010;S011;S012;S014
2,"1,3,7,8|2,4,5,6,9",False,False,7,4,5,2.6651317026977828,0.0001447636734653842,0.06348333511905929,1.0002895692660414,61.635680510565614,1,0,0,4,2,4,6,2,6,4,7,0,0,2,0,0,2,2,1,S001;S003;S008;S009;S012;S013;S015,S002;S004;S005;S006;S007;S010;S011;S014
2,"1,3,7,9|2,4,5,6,8",False,False,8,5,3,1.9786198135078066,0.0035870387660075754,0.009632804929910564,1.007199903866295,59.88344018469938,1,0,0,5,2,4,6,2,6,4,7,1,0,2,0,0,2,2,1,S001;S003;S008;S010;S013;S014;S015,S002;S004;S005;S006;S007;S009;S011;S012
2,"1,3,7|2,4,5,6,8,9",False,False,7,4,2,0.9497164467873855,0.24840433770623419,0.3030720616738645,1.6610052456879236,59.95145392217281,1,0,0,5,2,4,6,2,6,4,6,1,0,2,0,0,2,2,0,S001;S003;S008;S013;S015,S002;S004;S005;S006;S007;S009;S010;S011;S012;S014
2,"1,4,5,6,7|2,3,8,9",False,False,5,4,4,2.143928732525014,0.1472916695725588,0.036257180513165205,1.3454678799695206,55.09395578939122,1,0,0,4,2,3,6,2,5,4,7,0,0,1,0,0,1,2,1,S001;S004;S005;S006;S007;S008;S011;S013;S015,S002;S003;S009;S010;S012;S014
2,"1,4,5,8|2,3,6,7,9",False,False,5,4,5,3.119082955218959,0.10638405064482259,0.18025917655777668,1.238097922763326,57.566727293871594,1,0,0,4,3,3,6,3,6,3,6,0,1,1,0,0,2,1,0,S001;S004;S005;S009;S011;S012;S013,S002;S003;S006;S007;S008;S010;S014;S015
2,"1,4,5|2,3,6,7,8,9",False,False,4,3,5,2.8659653170739796,0.35493315202452236,0.35759733050341286,2.100453861916696,61.456878632253726,1,0,0,4,2,3,6,2,6,3,6,0,0,1,0,0,2,1,0,S001;S004;S005;S011;S013,S002;S003;S006;S007;S008;S009;S010;S012;S014;S015
2,"1,4,8|2,3,5,6,7,9",False,False,5,3,6,3.387168287246749,0.30747890629059743,0.32822857424157365,1.8879986734949115,53.87781340304814,1,0,0,4,2,3,6,2,7,3,6,0,0,1,0,0,3,1,0,S001;S004;S009;S012;S013,S002;S003;S005;S006;S007;S008;S010;S011;S014;S015
2,"1,5,6,7|2,3,4,8,9",False,False,6,4,4,1.9177983845283493,0.0228688496348515,0.13534034548076299,1.0468081477625713,54.279223676489494,1,0,0,4,2,3,6,2,6,4,7,0,0,1,0,0,2,2,1,S001;S005;S006;S007;S008;S011;S013;S015,S002;S003;S004;S009;S010;S012;S014
2,"1,5,6,8|2,3,4,7,9",False,False,5,4,6,3.650372844844158,0.05707159833707361,0.12600737497884787,1.121051817373246,59.996465046000324,1,0,0,4,3,2,6,3,5,4,7,0,1,0,0,0,1,2,1,S001;S005;S006;S007;S009;S011;S012;S013,S002;S003;S004;S008;S010;S014;S015
2,"1,5,8|2,3,4,6,7,9",False,False,5,4,4,2.4190863495057853,0.276544569852233,0.31488098119310337,1.7645103162630165,58.40818563410074,1,0,0,4,3,3,6,3,6,3,6,0,1,1,0,0,2,1,0,S001;S005;S009;S011;S012;S013,S002;S003;S004;S006;S007;S008;S010;S014;S015
2,"1,5|2,3,4,6,7,8,9",False,False,4,3,3,1.2398417576509675,0.5250936712319325,0.5623053236484277,3.211356806274003,60.66560295432757,1,0,0,4,2,3,6,2,6,3,6,0,0,1,0,0,2,1,0,S001;S005;S011;S013,S002;S003;S004;S006;S007;S008;S009;S010;S012;S014;S015
2,"1,6,8,9|2,3,4,5,7",False,False,6,4,7,3.918458176871948,0.013349155042621578,0.07524867559421655,1.0270595319729305,51.1330042285298,1,0,0,4,2,3,6,2,5,4,8,0,0,1,0,0,1,2,2,S001;S006;S007;S009;S010;S012;S013;S014,S002;S003;S004;S005;S008;S011;S015
2,"1,7|2,3,4,5,6,8,9",False,False,7,3,2,0.9497164467873855,0.44343667679578547,0.477513269318324,2.5934814900948098,61.643717065056165,1,0,0,4,2,4,6,2,7,4,6,0,0,2,0,0,3,2,0,S001;S008;S013;S015,S002;S003;S004;S005;S006;S007;S009;S010;S011;S012;S014
2,"1|2,3,4,5,6,7,8,9",False,False,4,3,2,0.9717564256231777,0.7261885268777073,0.7386432200251615,6.30429582513052,58.37697605370484,1,0,0,4,2,3,6,2,6,3,5,0,0,1,0,0,2,1,0,S001;S013,S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S014;S015
