K,canonical_units,transport_zero_augmentation,all_inventory_feasible,total_shortage,shortage_resource_types,relay_copy_count,relay_delta_energy_kWh,CV_transport_workload,CV_joint_workload,max_min_transport_workload_ratio,geo_compactness_km,pareto,selected,theoretical_relay_min,total_A_drone,total_B_drone,total_C_drone,total_A_battery,total_B_battery,total_C_battery,total_relay_drone,total_relay_energy,shortage_A_drone,shortage_B_drone,shortage_C_drone,shortage_A_battery,shortage_B_battery,shortage_C_battery,shortage_relay_drone,shortage_relay_energy,group_1_services,group_2_services,group_3_services
3,"1,2,3,4,6,7,9|5|8",False,False,6,5,3,1.7154152559103972,0.9377444974851147,0.9054620686030537,7.709575851634171,56.02641641954677,1,0,1,5,3,3,6,3,5,4,6,1,1,1,0,0,1,2,0,S001;S002;S003;S004;S006;S007;S008;S010;S013;S014;S015,S005;S011,S009;S012
3,"1,2,3,4,6,8,9|5|7",False,False,8,4,3,1.3527050901139803,0.9024031366681562,0.9015720040228403,7.539493187946,53.28282542119258,1,0,0,4,2,4,6,2,6,5,7,0,0,2,0,0,2,3,1,S001;S002;S003;S004;S006;S007;S009;S010;S012;S013;S014,S005;S011,S008;S015
3,"1,2,3,7,8,9|4,5|6",False,False,7,4,4,2.425498781076001,0.7931167311528491,0.7340996680593327,6.421162678495541,49.659364649590984,1,0,0,4,3,4,6,3,6,4,6,0,1,2,0,0,2,2,0,S001;S002;S003;S008;S009;S010;S012;S013;S014;S015,S004;S005;S011,S006;S007
3,"1,2,3,7,9|4,5,8|6",False,False,8,5,4,2.6786164192209805,0.5785344527059143,0.5780344184364722,5.288681081040465,51.2581561019864,1,0,0,5,3,4,6,3,6,4,6,1,1,2,0,0,2,2,0,S001;S002;S003;S008;S010;S013;S014;S015,S004;S005;S009;S011;S012,S006;S007
3,"1,2,3,7,9|4,8|5,6",False,False,8,4,5,2.9467017512487703,0.5240266359556776,0.5186464069294399,2.7721420650053465,51.227428703491896,1,0,0,5,2,4,6,2,7,4,6,1,0,2,0,0,3,2,0,S001;S002;S003;S008;S010;S013;S014;S015,S004;S009;S012,S005;S006;S007;S011
3,"1,2,3,9|4,7,8|5,6",False,False,8,4,7,4.03132150933496,0.2825217415682018,0.3322981465402834,2.087584083872566,48.443175696235286,1,0,0,4,2,4,6,2,6,5,7,0,0,2,0,0,2,3,1,S001;S002;S003;S010;S013;S014,S004;S008;S009;S012;S015,S005;S006;S007;S011
3,"1,2,4,5,8,9|3,7|6",False,False,8,4,4,2.2030429209615505,0.692956540139887,0.6490982155760788,5.935778015487366,40.48372795380965,1,0,0,4,3,4,6,3,6,5,6,0,1,2,0,0,2,3,0,S001;S002;S004;S005;S009;S010;S011;S012;S013;S014,S003;S008;S015,S006;S007
3,"1,2,4,8,9|3,7|5,6",False,False,8,3,5,2.471128252989341,0.46269588439707154,0.46279604616541664,2.6194300003980984,39.31865491813776,1,0,0,4,2,4,6,2,7,5,6,0,0,2,0,0,3,3,0,S001;S002;S004;S009;S010;S012;S013;S014,S003;S008;S015,S005;S006;S007;S011
3,"1,2,9|3,5,6|4,7,8",False,False,9,4,7,3.918458176871948,0.05533918562715466,0.10135478821587522,1.1394757654818592,41.635453368004804,1,0,0,4,2,4,6,2,6,6,7,0,0,2,0,0,2,4,1,S001;S002;S010;S013;S014,S003;S005;S006;S007;S011,S004;S008;S009;S012;S015
3,"1,2,9|3,5,8|4,6,7",False,False,12,5,6,3.8765031928408225,0.02420301223623578,0.0698164871553441,1.0593508202427073,46.490058651891665,1,0,0,4,3,5,6,3,6,6,8,0,1,3,0,0,2,4,2,S001;S002;S010;S013;S014,S003;S005;S009;S011;S012,S004;S006;S007;S008;S015
3,"1,2,9|3,6,7|4,5,8",False,False,10,5,5,3.119082955218959,0.05047235372573538,0.10454059922731426,1.124963093078156,38.388762898890676,1,0,0,5,3,5,6,3,6,5,6,1,1,3,0,0,2,3,0,S001;S002;S010;S013;S014,S003;S006;S007;S008;S015,S004;S005;S009;S011;S012
3,"1,2,9|3,6,8|4,5,7",False,False,13,4,8,4.844585130581786,0.018126181748253874,0.039630134989834774,1.0442367255931257,47.39277322734631,1,0,0,4,2,5,6,2,7,6,9,0,0,3,0,0,3,4,3,S001;S002;S010;S013;S014,S003;S006;S007;S009;S012,S004;S005;S008;S011;S015
3,"1,2,7|3,8,9|4,5,6",False,False,14,4,6,3.1964215923229817,0.08296337482352743,0.10951057043125077,1.220312041319722,54.66719951676644,1,0,0,4,2,5,6,2,7,6,10,0,0,3,0,0,3,4,4,S001;S002;S008;S013;S015,S003;S009;S010;S012;S014,S004;S005;S006;S007;S011
3,"1,3,4,5,6,7,9|2|8",False,False,6,4,4,2.2366182260831664,0.9776726808324461,0.8385691435916351,9.659456260400644,51.6969473164601,1,0,0,5,2,3,6,2,4,5,7,1,0,1,0,0,0,3,1,S001;S003;S004;S005;S006;S007;S008;S010;S011;S013;S014;S015,S002,S009;S012
3,"1,3,4,6,7,8,9|2|5",False,False,7,4,2,0.789288302200559,1.0268907216645664,0.9432169242644453,9.948266216288962,56.64164678672632,1,0,0,4,2,4,6,2,5,5,7,0,0,2,0,0,1,3,1,S001;S003;S004;S006;S007;S008;S009;S010;S012;S013;S014;S015,S002,S005;S011
3,"1,3,4,6,7,8|2,9|5",False,False,7,4,4,2.133841813072584,0.7774835445748095,0.6654714692615925,6.911058216447395,54.01634299664688,1,0,0,4,2,4,6,2,5,5,7,0,0,2,0,0,1,3,1,S001;S003;S004;S006;S007;S008;S009;S012;S013;S015,S002;S010;S014,S005;S011
3,"1,3,5,6|2,4,7,8|9",True,False,6,2,7,3.918458176871948,0.44767295989940104,0.3418531075151491,3.6329607557263817,42.17884001307889,1,1,0,4,2,2,6,2,4,6,8,0,0,0,0,0,0,4,2,S001;S003;S005;S006;S007;S011;S013,S002;S004;S008;S009;S012;S015,S010;S014
3,"1,3,5,6|2,4,7,9|8",False,False,6,4,7,3.918458176871948,0.4437973111673101,0.4296375231380506,3.5784142225244073,51.98332956619534,1,0,0,5,3,2,6,3,4,5,7,1,1,0,0,0,0,3,1,S001;S003;S005;S006;S007;S011;S013,S002;S004;S008;S010;S014;S015,S009;S012
3,"1,3,5,6|2,4,7|8,9",False,False,8,4,7,3.918458176871948,0.24813265227796266,0.16722298283536913,1.8027405976491984,43.49752006936088,1,0,0,5,3,2,6,3,4,6,8,1,1,0,0,0,0,4,2,S001;S003;S005;S006;S007;S011;S013,S002;S004;S008;S015,S009;S010;S012;S014
3,"1,3,6,7|2,4,5,9|8",False,False,7,5,5,2.8338384187857577,0.4585963038961826,0.40030005405839386,3.9069488822068115,51.81431077025579,1,0,0,5,3,3,6,3,5,5,6,1,1,1,0,0,1,3,0,S001;S003;S006;S007;S008;S013;S015,S002;S004;S005;S010;S011;S014,S009;S012
3,"1,3,6,7|2,4,8,9|5",False,False,9,5,3,1.38650849490315,0.5015426607427423,0.5189295552323681,4.828908381025151,48.15730114083417,1,0,0,5,3,4,6,3,6,5,6,1,1,2,0,0,2,3,0,S001;S003;S006;S007;S008;S013;S015,S002;S004;S009;S010;S012;S014,S005;S011
3,"1,3,7|2,4,6,9|5,8",False,False,12,6,4,2.397046370669993,0.2319922521555462,0.28629222142296773,1.776428590222344,58.91729194993296,1,0,0,5,3,5,6,3,7,5,7,1,1,3,0,0,3,3,1,S001;S003;S008;S013;S015,S002;S004;S006;S007;S010;S014,S005;S009;S011;S012
3,"1,3,7|2,4,8,9|5,6",False,False,9,4,4,1.9177983845283493,0.2651696980428183,0.30732765738189743,1.9683781237705589,47.90733175156946,1,0,0,5,2,4,6,2,7,5,6,1,0,2,0,0,3,3,0,S001;S003;S008;S013;S015,S002;S004;S009;S010;S012;S014,S005;S006;S007;S011
3,"1,3,9|2,4,7,8|5,6",False,False,8,4,7,4.03132150933496,0.2771493416034545,0.31532548802700905,2.058576538132814,46.108522874573445,1,0,0,4,2,3,6,2,6,5,8,0,0,1,0,0,2,3,2,S001;S003;S010;S013;S014,S002;S004;S008;S009;S012;S015,S005;S006;S007;S011
3,"1,3|2,4,7,8,9|5,6",False,False,7,4,6,3.0024181426145398,0.4717772177518204,0.5234721919588379,2.640687872213881,52.04573237956986,1,0,0,4,2,3,6,2,6,5,7,0,0,1,0,0,2,3,1,S001;S003;S013,S002;S004;S008;S009;S010;S012;S014;S015,S005;S006;S007;S011
3,"1,3,5,6|2,9|4,7,8",False,False,6,3,7,3.918458176871948,0.29641955633669964,0.14533883050135715,2.173926136861034,47.57964785444382,1,0,0,4,2,3,6,2,4,6,7,0,0,1,0,0,0,4,1,S001;S003;S005;S006;S007;S011;S013,S002;S010;S014,S004;S008;S009;S012;S015
3,"1,3,5,6|2|4,7,8,9",False,False,7,3,6,2.9923312231621098,0.5339669107951412,0.47010410548006193,5.759120716853375,51.1960626228551,1,0,0,4,2,3,6,2,4,6,8,0,0,1,0,0,0,4,2,S001;S003;S005;S006;S007;S011;S013,S002,S004;S008;S009;S010;S012;S014;S015
3,"1,3,5|2,6,7|4,8,9",False,False,12,6,6,2.9923312231621098,0.003928882954482027,0.06087225172145937,1.009663132182865,49.7914237225478,1,0,0,5,3,4,6,3,6,6,8,1,1,2,0,0,2,4,2,S001;S003;S005;S011;S013,S002;S006;S007;S008;S015,S004;S009;S010;S012;S014
3,"1,3,5|2,6,9|4,7,8",False,False,10,5,8,4.449748066497147,0.04475320688215431,0.10356618893353124,1.1159109533128193,55.05593697026279,1,0,0,4,3,4,6,3,5,6,8,0,1,2,0,0,1,4,2,S001;S003;S005;S011;S013,S002;S006;S007;S010;S014,S004;S008;S009;S012;S015
