序号,PNG文件,PDF文件,标题,正文建议,PNG存在,PDF存在
1,fig_q4_01_solution_flow.png,fig_q4_01_solution_flow.pdf,问题四总体求解流程,正文强烈推荐,1,1
2,fig_q4_02_scenario_definition.png,fig_q4_02_scenario_definition.pdf,严格继承与按组复制两种情景,正文强烈推荐,1,1
3,fig_q4_03_unit_service_count.png,fig_q4_03_unit_service_count.pdf,各运输不可拆分单元包含的服务区数量,正文备选,1,1
4,fig_q4_04_unit_trip_count.png,fig_q4_04_unit_trip_count.pdf,各运输不可拆分单元承担的运输架次数,备选,1,1
5,fig_q4_05_unit_transport_workload.png,fig_q4_05_unit_transport_workload.pdf,各运输不可拆分单元的运输作业工作量,正文备选,1,1
6,fig_q4_06_hypergraph_incidence.png,fig_q4_06_hypergraph_incidence.pdf,中继架次—运输单元关联矩阵,正文强烈推荐,1,1
7,fig_q4_07_unit_relay_bipartite.png,fig_q4_07_unit_relay_bipartite.pdf,运输单元—中继架次二部关联图,正文强烈推荐,1,1
8,fig_q4_08_strict_connectivity.png,fig_q4_08_strict_connectivity.pdf,严格继承口径下的运输单元连通图,正文强烈推荐,1,1
9,fig_q4_09_partition_counts.png,fig_q4_09_partition_counts.pdf,完整枚举的无标签分区数量,正文推荐,1,1
10,fig_q4_10_unit_relay_degree.png,fig_q4_10_unit_relay_degree.pdf,各运输单元关联的实际中继架次数,备选,1,1
11,fig_q4_11_relay_hyperedge_size.png,fig_q4_11_relay_hyperedge_size.pdf,各中继架次连接的运输单元数量,正文备选,1,1
12,fig_q4_12_K2_relay_drone_hist.png,fig_q4_12_K2_relay_drone_hist.pdf,K=2 全部分区的中继无人机总需求分布,正文备选,1,1
13,fig_q4_13_K3_relay_drone_hist.png,fig_q4_13_K3_relay_drone_hist.pdf,K=3 全部分区的中继无人机总需求分布,正文备选,1,1
14,fig_q4_14_K2_relay_energy_hist.png,fig_q4_14_K2_relay_energy_hist.pdf,K=2 全部分区的中继能源组件需求分布,备选,1,1
15,fig_q4_15_K3_relay_energy_hist.png,fig_q4_15_K3_relay_energy_hist.pdf,K=3 全部分区的中继能源组件需求分布,备选,1,1
16,fig_q4_16_K2_copy_hist.png,fig_q4_16_K2_copy_hist.pdf,K=2 中继任务新增副本数分布,正文推荐,1,1
17,fig_q4_17_K3_copy_hist.png,fig_q4_17_K3_copy_hist.pdf,K=3 中继任务新增副本数分布,正文推荐,1,1
18,fig_q4_18_K2_copy_balance_scatter.png,fig_q4_18_K2_copy_balance_scatter.pdf,K=2 中继复制代价—运输工作量均衡关系,正文强烈推荐,1,1
19,fig_q4_19_K3_copy_balance_scatter.png,fig_q4_19_K3_copy_balance_scatter.pdf,K=3 中继复制代价—运输工作量均衡关系,正文强烈推荐,1,1
20,fig_q4_20_K2_relay_balance_scatter.png,fig_q4_20_K2_relay_balance_scatter.pdf,K=2 中继无人机配置—运输工作量均衡关系,正文推荐,1,1
