架次,服务区,到达（s）,交接完成（s）,交付货箱
Q2T001,S007,931.2993198680994,1141.2993198680992,S007-MED-01;S007-WAT-01
Q2T002,S010,894.4634512744026,1104.4634512744026,S010-FOD-01;S010-MED-01
Q2T003,S007,931.2993198680994,1141.2993198680992,S007-FOD-01;S007-WAT-02
Q2T004,S010,864.4634512744026,1044.4634512744026,S010-WAT-01
Q2T005,S012,1031.8307003260657,1271.8307003260657,S012-FOD-01;S012-MED-01;S012-WAT-01
Q2T006,S013,822.7338040630028,1062.733804063003,S013-FOD-01;S013-MED-01;S013-WAT-01
Q2T007,S001,786.8983708492726,1182.8983708492726,S001-FOD-01;S001-FOD-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-06
Q2T008,S001,846.8983708492726,1314.8983708492726,S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-05;S001-WAT-08
Q2T009,S001,2282.325112547818,2498.325112547818,S001-WAT-07
Q2T009,S002,2884.9699690314246,3244.9699690314246,S002-FOD-02;S002-HYG-01;S002-WAT-01;S002-WAT-02;S002-WAT-03
Q2T010,S014,2512.256832060527,2752.256832060527,S014-FOD-01;S014-MED-01;S014-WAT-01
Q2T011,S006,2440.503684335527,2836.503684335527,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03
Q2T012,S002,2905.686421585019,3145.686421585019,S002-FOD-01;S002-MED-01;S002-WAT-04
Q2T013,S008,4328.010571682239,4688.010571682239,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02
Q2T014,S015,4357.2264398363895,4597.2264398363895,S015-FOD-01;S015-MED-01;S015-WAT-01
Q2T015,S009,4636.384388703466,4876.384388703466,S009-FOD-01;S009-MED-01;S009-WAT-01
Q2T016,S003,5146.429461378926,5578.429461378926,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-MED-01;S003-WAT-01;S003-WAT-02;S003-WAT-03
Q2T017,S007,6064.3090119127055,6244.3090119127055,S007-HYG-01
Q2T017,S003,6476.110072162672,6656.110072162672,S003-WAT-04
Q2T018,S004,6581.61326212588,6977.61326212588,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03
Q2T019,S011,6256.861713257258,6496.861713257258,S011-FOD-01;S011-MED-01;S011-WAT-01
Q2T020,S005,7347.532698983183,7743.532698983183,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03
