电池编号,机型,架次,无人机,任务开始（s）,任务结束（s）,起始SOC,返航SOC,充电开始（s）,充电结束（s）,充电时长（s）
BAT-A01,A,Q2T001,U01,0.0,1727.3186397361987,1.0,0.576644252687495,1727.3186397361987,2777.6811112424552,1050.3624715062565
BAT-A02,A,Q2T002,U02,0.0,1653.853569215472,1.0,0.5799502644127463,1653.853569215472,2699.9182254789016,1046.0646562634297
BAT-A03,A,Q2T003,U03,0.0,1727.3186397361987,1.0,0.5620728635572412,1727.3186397361987,2796.623917111785,1069.3052773755862
BAT-A04,A,Q2T004,U04,0.0,1593.853569215472,1.0,0.5735368001859882,1593.853569215472,2648.2557289736874,1054.4021597582155
BAT-B01,B,Q2T005,U05,0.0,1923.8014006521316,1.0,0.31119052339743525,1923.8014006521316,3784.404493429911,1860.6030927777792
BAT-B02,B,Q2T006,U06,0.0,1510.400941459339,1.0,0.543857672473197,1510.400941459339,2967.714309172464,1457.3133677131248
BAT-C01,C,Q2T007,U07,0.0,1495.4267416985454,1.0,0.6513841469817001,1495.4267416985454,3084.0944232381953,1588.66768153965
BAT-C02,C,Q2T008,U08,0.0,1627.4267416985454,1.0,0.6659116900105948,1627.4267416985454,3184.6180800089232,1557.191338310378
BAT-C03,C,Q2T009,U07,1495.4267416985454,3867.06403232271,1.0,0.23753473328158203,3867.06403232271,6352.405443545949,2485.3414112232394
BAT-B03,B,Q2T010,U06,1510.400941459339,3378.9993893283818,1.0,0.46567325998914555,3378.9993893283818,4971.832405347196,1592.8330160188143
BAT-C04,C,Q2T011,U08,1627.4267416985454,3188.290626972508,1.0,0.6757525894245816,3188.290626972508,4724.1600165525815,1535.8693895800734
BAT-B04,B,Q2T012,U05,1923.8014006521316,3743.6914425179066,1.0,0.3195183451208976,3743.6914425179066,5589.859644308351,1846.168201790444
BAT-C01,C,Q2T013,U08,3188.290626972508,5392.05051639197,1.0,0.2678128615254114,5392.05051639197,7811.789316420245,2419.7388000282754
BAT-B02,B,Q2T014,U06,3378.9993893283818,5208.573490344398,1.0,0.42227360925822,5208.573490344398,6876.63256763015,1668.0590772857522
BAT-B01,B,Q2T015,U05,3784.404493429911,5345.184283977022,1.0,0.4743860889415693,5345.184283977022,6922.915063144968,1577.7307791679468
BAT-C02,C,Q2T016,U07,3867.06403232271,6368.874890435143,1.0,0.20971146120977946,6368.874890435143,8914.500057813955,2545.625167378812
BAT-B03,B,Q2T017,U06,5208.573490344398,7388.258144854956,1.0,0.3671520802470677,7388.258144854956,9151.861205760039,1763.6030609050822
BAT-C04,C,Q2T018,U08,5392.05051639197,7697.236007859792,1.0,0.2278851212635573,7697.236007859792,10203.484911788752,2506.2489039289594
BAT-B04,B,Q2T019,U05,5589.859644308351,6779.490448872832,1.0,0.7307068411984117,6779.490448872832,7912.931924128918,1133.441475256086
BAT-C03,C,Q2T020,U07,6368.874890435143,8248.920507531224,1.0,0.47015249491317235,8248.920507531224,10230.256768552683,1981.336261021459
