架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,起飞时刻（s）,返航SOC,充电完成时刻（s）,箱数
Q2T001,U01,A,BAT-A01,0.0,S007,1727.3186397361987,1.9051008629062727,360.0,0.576644252687495,2777.6811112424552,2
Q2T002,U02,A,BAT-A02,0.0,S010,1653.853569215472,1.8902238101426416,360.0,0.5799502644127463,2699.9182254789016,2
Q2T003,U03,A,BAT-A03,0.0,S007,1727.3186397361987,1.9706721139924146,360.0,0.5620728635572412,2796.623917111785,2
Q2T004,U04,A,BAT-A04,0.0,S010,1593.853569215472,1.9190843991630535,330.0,0.5735368001859882,2648.2557289736874,1
Q2T005,U05,B,BAT-B01,0.0,S012,1923.8014006521316,2.755237906410259,390.0,0.31119052339743525,3784.404493429911,3
Q2T006,U06,B,BAT-B02,0.0,S013,1510.400941459339,1.8245693101072118,390.0,0.543857672473197,2967.714309172464,3
Q2T007,U07,C,BAT-C01,0.0,S001,1495.4267416985454,2.7889268241463996,480.0,0.6513841469817001,3084.0944232381953,6
Q2T008,U08,C,BAT-C02,0.0,S001,1627.4267416985454,2.6727064799152416,540.0,0.6659116900105948,3184.6180800089232,8
Q2T009,U07,C,BAT-C03,1495.4267416985454,S001→S002,3867.06403232271,6.099722133747344,1975.4267416985454,0.23753473328158203,6352.405443545949,6
Q2T010,U06,B,BAT-B03,1510.400941459339,S014,3378.9993893283818,2.137306960043418,1900.400941459339,0.46567325998914555,4971.832405347196,3
Q2T011,U08,C,BAT-C04,1627.4267416985454,S006,3188.290626972508,2.593979284603347,2107.4267416985454,0.6757525894245816,4724.1600165525815,6
Q2T012,U05,B,BAT-B04,1923.8014006521316,S002,3743.6914425179066,2.7219266195164096,2313.8014006521316,0.3195183451208976,5589.859644308351,3
Q2T013,U08,C,BAT-C01,3188.290626972508,S008,5392.05051639197,5.857497107796709,3638.290626972508,0.2678128615254114,7811.789316420245,5
Q2T014,U06,B,BAT-B02,3378.9993893283818,S015,5208.573490344398,2.31090556296712,3768.9993893283818,0.42227360925822,6876.63256763015,3
Q2T015,U05,B,BAT-B01,3784.404493429911,S009,5345.184283977022,2.1024556442337228,4174.404493429911,0.4743860889415693,6922.915063144968,3
Q2T016,U07,C,BAT-C02,3867.06403232271,S003,6368.874890435143,6.322308310321764,4377.06403232271,0.20971146120977946,8914.500057813955,7
Q2T017,U06,B,BAT-B03,5208.573490344398,S007→S003,7388.258144854956,2.5313916790117292,5568.573490344398,0.3671520802470677,9151.861205760039,2
Q2T018,U08,C,BAT-C04,5392.05051639197,S004,7697.236007859792,6.1769190298915415,5872.05051639197,0.2278851212635573,10203.484911788752,6
Q2T019,U05,B,BAT-B04,5589.859644308351,S011,6779.490448872832,1.0771726352063533,5979.859644308351,0.7307068411984117,7912.931924128918,3
Q2T020,U07,C,BAT-C03,6368.874890435143,S005,8248.920507531224,4.238780040694621,6848.874890435143,0.47015249491317235,10230.256768552683,6
