货箱编号,架次编号,服务区编号,交付完成时刻（s）,物资类型,质量（kg）,体积（m3）,期望时刻（s）,硬截止（s）,优先系数,迟到秒数,加权迟到,是否首批
S001-FOD-01,Q2T007,S001,1182.8983708492726,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-FOD-02,Q2T007,S001,1182.8983708492726,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-FOD-03,Q2T008,S001,1314.8983708492726,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-HYG-01,Q2T008,S001,1314.8983708492726,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S001-HYG-02,Q2T008,S001,1314.8983708492726,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S001-MED-01,Q2T008,S001,1314.8983708492726,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S001-MED-02,Q2T008,S001,1314.8983708492726,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,False
S001-WAT-01,Q2T008,S001,1314.8983708492726,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S001-WAT-02,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-03,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-04,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-05,Q2T008,S001,1314.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-06,Q2T007,S001,1182.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-07,Q2T009,S001,2498.325112547818,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-08,Q2T008,S001,1314.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S002-FOD-01,Q2T012,S002,3145.686421585019,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S002-FOD-02,Q2T009,S002,3244.969969031424,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S002-HYG-01,Q2T009,S002,3244.969969031424,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S002-MED-01,Q2T012,S002,3145.686421585019,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S002-WAT-01,Q2T009,S002,3244.969969031424,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S002-WAT-02,Q2T009,S002,3244.969969031424,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S002-WAT-03,Q2T009,S002,3244.969969031424,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S002-WAT-04,Q2T012,S002,3145.686421585019,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S003-FOD-01,Q2T016,S003,5578.429461378926,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S003-FOD-02,Q2T016,S003,5578.429461378926,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S003-HYG-01,Q2T016,S003,5578.429461378926,生活卫生用品,6.0,0.035,14400.0,,6.0,0.0,0.0,False
S003-MED-01,Q2T016,S003,5578.429461378926,医疗物资,3.0,0.012,7200.0,7200.0,20.0,0.0,0.0,True
S003-WAT-01,Q2T016,S003,5578.429461378926,饮用水,14.0,0.027,7200.0,7200.0,10.0,0.0,0.0,True
S003-WAT-02,Q2T016,S003,5578.429461378926,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S003-WAT-03,Q2T016,S003,5578.429461378926,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S003-WAT-04,Q2T017,S003,6656.110072162672,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S004-FOD-01,Q2T018,S004,6977.61326212588,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S004-HYG-01,Q2T018,S004,6977.61326212588,生活卫生用品,6.0,0.035,14400.0,,6.0,0.0,0.0,False
S004-MED-01,Q2T018,S004,6977.61326212588,医疗物资,3.0,0.012,7200.0,7200.0,20.0,0.0,0.0,True
S004-WAT-01,Q2T018,S004,6977.61326212588,饮用水,14.0,0.027,7200.0,7200.0,10.0,0.0,0.0,True
S004-WAT-02,Q2T018,S004,6977.61326212588,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S004-WAT-03,Q2T018,S004,6977.61326212588,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S005-FOD-01,Q2T020,S005,7743.532698983183,应急食品,8.0,0.028,14400.0,,6.0,0.0,0.0,False
S005-HYG-01,Q2T020,S005,7743.532698983183,生活卫生用品,6.0,0.035,18000.0,,4.0,0.0,0.0,False
S005-MED-01,Q2T020,S005,7743.532698983183,医疗物资,3.0,0.012,10800.0,10800.0,16.0,0.0,0.0,True
S005-WAT-01,Q2T020,S005,7743.532698983183,饮用水,14.0,0.027,10800.0,10800.0,8.0,0.0,0.0,True
S005-WAT-02,Q2T020,S005,7743.532698983183,饮用水,14.0,0.027,10800.0,,8.0,0.0,0.0,False
S005-WAT-03,Q2T020,S005,7743.532698983183,饮用水,14.0,0.027,10800.0,,8.0,0.0,0.0,False
S006-FOD-01,Q2T011,S006,2836.503684335527,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S006-HYG-01,Q2T011,S006,2836.503684335527,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S006-MED-01,Q2T011,S006,2836.503684335527,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
