profile,seed,iteration,best_objective
balanced,20260924,0,0.4411821724845442
balanced,20260924,25,0.4388302685675305
balanced,20260924,250,0.4376832604695337
balanced,20260924,375,0.43578534129696067
balanced,20260924,400,0.43578534129696067
balanced,20260924,425,0.43578534129696067
balanced,20260924,450,0.43578534129696067
balanced,20260924,475,0.43552756552366906
balanced,20260925,0,0.4411821724845442
balanced,20260925,25,0.4411821724845442
balanced,20260925,50,0.4399736251539064
balanced,20260925,200,0.4384266653569042
balanced,20260925,250,0.43175380665639124
balanced,20260925,275,0.4031838902513993
balanced,20260925,300,0.40313352809750663
balanced,20260925,350,0.40055667694557245
balanced,20260925,400,0.40055667694557245
balanced,20260925,425,0.40055667694557245
balanced,20260925,475,0.40055667694557245
time,20260924,0,0.43380029667930936
time,20260924,25,0.4326243447208025
time,20260924,100,0.4326243447208025
time,20260924,200,0.4326243447208025
time,20260924,250,0.4326243447208025
time,20260924,275,0.4326243447208025
time,20260924,300,0.4326243447208025
time,20260924,425,0.4326243447208025
time,20260924,450,0.4326243447208025
time,20260924,475,0.4326243447208025
time,20260925,0,0.43380029667930936
time,20260925,25,0.43380029667930936
time,20260925,150,0.42483190549739996
time,20260925,200,0.42483190549739996
time,20260925,350,0.42120072077476595
time,20260925,450,0.42120072077476595
time,20260925,500,0.42120072077476595
energy,20260924,0,0.44639770398634915
energy,20260924,25,0.4416938961523217
energy,20260924,325,0.4405447258766051
energy,20260924,350,0.4405447258766051
energy,20260924,425,0.4405447258766051
energy,20260925,0,0.44639770398634915
energy,20260925,25,0.44639770398634915
energy,20260925,50,0.44639770398634915
energy,20260925,125,0.44639770398634915
energy,20260925,175,0.44639770398634915
energy,20260925,250,0.44639770398634915
energy,20260925,325,0.44639770398634915
energy,20260925,400,0.43477105509048786
energy,20260925,425,0.43257570132468975
energy,20260925,450,0.43257570132468975
energy,20260925,475,0.43255075538653837
trips,20260924,0,0.4528967368966388
trips,20260924,25,0.45172078493813195
trips,20260924,250,0.45172078493813195
trips,20260924,350,0.42771765274076184
trips,20260924,400,0.42771765274076184
trips,20260924,475,0.4276663737920854
trips,20260924,500,0.4276663737920854
trips,20260925,0,0.4528967368966388
trips,20260925,25,0.4528967368966388
trips,20260925,50,0.4522045406773865
trips,20260925,125,0.4464876865559706
trips,20260925,150,0.439454387542381
trips,20260925,175,0.439454387542381
trips,20260925,200,0.4272279280317395
trips,20260925,250,0.4272279280317395
trips,20260925,300,0.4272279280317395
trips,20260925,350,0.4267417657461492
trips,20260925,375,0.4267417657461492
trips,20260925,400,0.4267417657461492
trips,20260925,450,0.4267417657461492
