架次,服务区,到达（s）,交接完成（s）,交付货箱
Q2T001,S007,931.2993198680994,1141.2993198680992,S007-MED-01;S007-WAT-01
Q2T002,S002,1075.8063295718712,1285.8063295718712,S002-FOD-01;S002-WAT-02
Q2T003,S001,678.3022691647022,918.3022691647022,S001-FOD-01;S001-MED-01;S001-WAT-02
Q2T004,S014,1001.8558906011879,1241.8558906011879,S014-FOD-01;S014-MED-01;S014-WAT-01
Q2T005,S001,756.8983708492726,1116.8983708492726,S001-WAT-01;S001-WAT-03;S001-WAT-04;S001-WAT-07;S001-WAT-08
Q2T006,S001,876.8983708492726,1272.8983708492726,S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-MED-02;S001-WAT-06
Q2T006,S013,1556.9233436942682,1844.9233436942682,S013-FOD-01;S013-MED-01;S013-WAT-01
Q2T007,S010,2055.1806579101244,2295.1806579101244,S010-FOD-01;S010-MED-01;S010-WAT-01
Q2T008,S001,2246.325112547818,2462.325112547818,S001-WAT-05
Q2T008,S002,2848.9699690314246,3244.9699690314246,S002-FOD-02;S002-HYG-01;S002-MED-01;S002-WAT-01;S002-WAT-03;S002-WAT-04
Q2T009,S012,2900.429148195108,3140.429148195108,S012-FOD-01;S012-MED-01;S012-WAT-01
Q2T010,S006,3165.9810610159975,3561.9810610159975,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03
Q2T010,S007,3960.9024804566934,4176.902480456693,S007-WAT-02
Q2T011,S015,3743.157161332186,3983.157161332186,S015-FOD-01;S015-MED-01;S015-WAT-01
Q2T012,S003,4900.494587880125,5140.494587880125,S003-FOD-01;S003-MED-01;S003-WAT-01
Q2T013,S004,5056.626778056621,5452.626778056621,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03
Q2T014,S009,5446.48410711375,5686.48410711375,S009-FOD-01;S009-MED-01;S009-WAT-01
Q2T015,S011,5573.189226043895,5861.189226043895,S011-FOD-01;S011-MED-01;S011-WAT-01
Q2T015,S008,6369.072599058882,6729.072599058882,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02
Q2T016,S007,7446.319924789103,7698.319924789103,S007-FOD-01;S007-HYG-01
Q2T016,S003,7941.487541842454,8301.487541842454,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
Q2T017,S005,8411.770352316653,8807.770352316653,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03
