电池编号,机型,架次,无人机,任务开始（s）,任务结束（s）,起始SOC,返航SOC,充电开始（s）,充电结束（s）,充电时长（s）
BAT-A01,A,Q2T001,U01,0.0,1727.3186397361987,1.0,0.576644252687495,1727.3186397361987,2777.6811112424552,1050.3624715062565
BAT-A02,A,Q2T002,U02,0.0,2007.7326591437422,1.0,0.3270727579273681,2007.7326591437422,3382.5380738381637,1374.8054146944214
BAT-B01,B,Q2T003,U05,0.0,1210.3578716627378,1.0,0.7104054535995931,1210.3578716627378,2378.988418756777,1168.630547094039
BAT-B02,B,Q2T004,U06,0.0,1868.5984478690425,1.0,0.46567325998914555,1868.5984478690425,3461.431463887857,1592.8330160188143
BAT-C01,C,Q2T005,U07,0.0,1429.4267416985454,1.0,0.6589394752819062,1429.4267416985454,3001.724545254415,1572.2978035558695
BAT-C02,C,Q2T006,U08,0.0,2322.904118379016,1.0,0.46004721368739965,2322.904118379016,4326.13515538965,2003.2310370106343
BAT-B03,B,Q2T007,U05,1210.3578716627378,2764.930110824178,1.0,0.5447381788009056,2764.930110824178,4220.717267569275,1455.7871567450966
BAT-C03,C,Q2T008,U07,1429.4267416985454,3867.06403232271,1.0,0.21620545766617805,3867.06403232271,6398.618874045991,2531.5548417232812
BAT-B04,B,Q2T009,U06,1868.5984478690425,3792.399848521174,1.0,0.31119052339743525,3792.399848521174,5653.002941298953,1860.6030927777792
BAT-C04,C,Q2T010,U08,2322.904118379016,4736.683531199806,1.0,0.46183671321176867,4736.683531199806,6736.037319240973,1999.3537880411677
BAT-B01,B,Q2T011,U05,2764.930110824178,4594.504211840194,1.0,0.42227360925822,4594.504211840194,6262.5632891259465,1668.0590772857522
BAT-B02,B,Q2T012,U06,3792.399848521174,5872.642660572409,1.0,0.3052072401367609,5872.642660572409,7743.61677766869,1870.9741170962807
BAT-C01,C,Q2T013,U07,3867.06403232271,6172.249523790531,1.0,0.2278851212635573,6172.249523790531,8678.49842771949,2506.2489039289594
BAT-B03,B,Q2T014,U05,4594.504211840194,6155.284002387305,1.0,0.4743860889415693,6155.284002387305,7733.014781555252,1577.7307791679468
BAT-C02,C,Q2T015,U08,4736.683531199806,7433.112543768612,1.0,0.20281115184287224,7433.112543768612,9993.688381442389,2560.5758376737767
BAT-C03,C,Q2T016,U07,6398.618874045991,9091.932970898672,1.0,0.21888994900630587,9091.932970898672,11617.671414718341,2525.7384438196696
BAT-C04,C,Q2T017,U08,7433.112543768612,9313.158160864692,1.0,0.47015249491317235,9313.158160864692,11294.494421886151,1981.336261021459
