架次,起点,终点,剩余载荷（kg）,剩余体积（m3）,水平距离（m）,DEM最高（m）,巡航海拔（m）,爬升（m）,下降（m）,航段开始（s）,航段结束（s）,飞行时间（s）,能耗（kWh）
Q2T001,O01,S007,17.0,0.039,4533.827897987505,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,360.0,931.2993198680994,571.2993198680994,1.045702802184405
Q2T001,S007,O01,0,0,4533.827897987505,461.9731750488281,511.9731750488281,163.47317504882812,384.27317504882814,1141.2993198680992,1727.3186397361987,586.0193198680994,0.8593980607218675
Q2T002,O01,S002,22.0,0.055,7435.278518339014,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,360.0,1075.8063295718712,715.8063295718711,1.6661232907769499
Q2T002,S002,O01,0,0,7435.278518339014,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,1285.8063295718712,2007.7326591437422,721.9263295718711,1.3620492985498935
Q2T003,O01,S001,25.0,0.067,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,390.0,678.3022691647022,288.3022691647023,0.6988394515966786
Q2T003,S001,O01,0,0,3063.4113262888936,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,918.3022691647022,1210.3578716627378,292.0556024980356,0.45953873400494905
Q2T004,O01,S014,25.0,0.067,5410.917094369381,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,390.0,1001.8558906011879,611.8558906011879,1.3050440730861401
Q2T004,S014,O01,0,0,5410.917094369381,541.9473876953125,591.9473876953125,240.9473876953125,464.2473876953125,1241.8558906011879,1868.5984478690425,626.7425572678545,0.8322628869572777
Q2T005,O01,S001,70.0,0.135,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,450.0,756.8983708492726,306.8983708492726,1.7623359856096446
Q2T005,S001,O01,0,0,3063.4113262888936,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,1116.8983708492726,1429.4267416985454,312.5283708492726,0.9661482121351055
Q2T006,O01,S001,70.0,0.232,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,570.0,876.8983708492726,306.8983708492726,1.7623359856096446
Q2T006,S001,S013,25.0,0.067,2894.2536667716154,328.3608093261719,378.3608093261719,194.36080932617188,26.660809326171886,1272.8983708492726,1556.9233436942682,284.02497284499566,1.0528150433766779
Q2T006,S013,O01,0,0,4848.706999909886,349.18182373046875,399.18182373046875,47.48182373046876,271.48182373046876,1844.9233436942682,2322.904118379016,477.98077468474764,1.5044712615144802
Q2T007,O01,S010,25.0,0.067,4778.439901620956,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,1600.3578716627378,2055.1806579101244,454.82278624738666,1.1177394417806332
Q2T007,S010,O01,0,0,4778.439901620956,385.63653564453125,435.63653564453125,84.03653564453123,307.93653564453126,2295.1806579101244,2764.930110824178,469.74945291405334,0.7033078430157443
Q2T008,O01,S001,73.0,0.183,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,1939.4267416985454,2246.325112547818,306.8983708492726,1.8549298076461262
Q2T008,S001,S002,59.0,0.156,4375.117473108587,259.2448425292969,309.2448425292969,125.24484252929688,89.74484252929688,2462.325112547818,2848.9699690314246,386.64485648360625,2.1039832160831597
Q2T008,S002,O01,0,0,7435.278518339014,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,3244.9699690314246,3867.0640323227103,622.0940632912858,2.311443314941289
