架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,起飞时刻（s）,返航SOC,充电完成时刻（s）,箱数
Q2T001,U01,A,BAT-A01,0.0,S007,1727.3186397361987,1.9051008629062727,360.0,0.576644252687495,2777.6811112424552,2
Q2T002,U02,A,BAT-A02,0.0,S002,2007.7326591437422,3.0281725893268434,360.0,0.3270727579273681,3382.5380738381637,2
Q2T003,U05,B,BAT-B01,0.0,S001,1210.3578716627378,1.1583781856016278,390.0,0.7104054535995931,2378.988418756777,3
Q2T004,U06,B,BAT-B02,0.0,S014,1868.5984478690425,2.137306960043418,390.0,0.46567325998914555,3461.431463887857,3
Q2T005,U07,C,BAT-C01,0.0,S001,1429.4267416985454,2.7284841977447503,450.0,0.6589394752819062,3001.724545254415,5
Q2T006,U08,C,BAT-C02,0.0,S001→S013,2322.904118379016,4.319622290500803,570.0,0.46004721368739965,4326.13515538965,9
Q2T007,U05,B,BAT-B03,1210.3578716627378,S010,2764.930110824178,1.8210472847963777,1600.3578716627378,0.5447381788009056,4220.717267569275,3
Q2T008,U07,C,BAT-C03,1429.4267416985454,S001→S002,3867.06403232271,6.270356338670576,1939.4267416985454,0.21620545766617805,6398.618874045991,7
Q2T009,U06,B,BAT-B04,1868.5984478690425,S012,3792.399848521174,2.755237906410259,2258.5984478690425,0.31119052339743525,5653.002941298953,3
Q2T010,U08,C,BAT-C04,2322.904118379016,S006→S007,4736.683531199806,4.305306294305851,2832.904118379016,0.46183671321176867,6736.037319240973,7
Q2T011,U05,B,BAT-B01,2764.930110824178,S015,4594.504211840194,2.31090556296712,3154.930110824178,0.42227360925822,6262.5632891259465,3
Q2T012,U06,B,BAT-B02,3792.399848521174,S003,5872.642660572409,2.7791710394529563,4182.399848521174,0.3052072401367609,7743.61677766869,3
Q2T013,U07,C,BAT-C01,3867.06403232271,S004,6172.249523790531,6.1769190298915415,4347.06403232271,0.2278851212635573,8678.49842771949,6
Q2T014,U05,B,BAT-B03,4594.504211840194,S009,6155.284002387305,2.1024556442337228,4984.504211840194,0.4743860889415693,7733.014781555252,3
Q2T015,U08,C,BAT-C02,4736.683531199806,S011→S008,7433.112543768612,6.377510785257022,5276.683531199806,0.20281115184287224,9993.688381442389,8
Q2T016,U07,C,BAT-C03,6398.618874045991,S007→S003,9091.932970898672,6.248880407949553,6908.618874045991,0.21888994900630587,11617.671414718341,7
Q2T017,U08,C,BAT-C04,7433.112543768612,S005,9313.158160864692,4.238780040694621,7913.112543768612,0.47015249491317235,11294.494421886151,6
