货箱编号,架次编号,服务区编号,交付完成时刻（s）,物资类型,质量（kg）,体积（m3）,期望时刻（s）,硬截止（s）,优先系数,迟到秒数,加权迟到,是否首批
S001-FOD-01,Q2T003,S001,918.3022691647022,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-FOD-02,Q2T006,S001,1272.8983708492726,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-FOD-03,Q2T006,S001,1272.8983708492726,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S001-HYG-01,Q2T006,S001,1272.8983708492726,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S001-HYG-02,Q2T006,S001,1272.8983708492726,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S001-MED-01,Q2T003,S001,918.3022691647022,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S001-MED-02,Q2T006,S001,1272.8983708492726,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,False
S001-WAT-01,Q2T005,S001,1116.8983708492726,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S001-WAT-02,Q2T003,S001,918.3022691647022,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-03,Q2T005,S001,1116.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-04,Q2T005,S001,1116.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-05,Q2T008,S001,2462.325112547818,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-06,Q2T006,S001,1272.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-07,Q2T005,S001,1116.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S001-WAT-08,Q2T005,S001,1116.8983708492726,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S002-FOD-01,Q2T002,S002,1285.8063295718712,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S002-FOD-02,Q2T008,S002,3244.969969031424,应急食品,8.0,0.028,7200.0,,10.0,0.0,0.0,False
S002-HYG-01,Q2T008,S002,3244.969969031424,生活卫生用品,6.0,0.035,10800.0,,8.0,0.0,0.0,False
S002-MED-01,Q2T008,S002,3244.969969031424,医疗物资,3.0,0.012,3600.0,3600.0,24.0,0.0,0.0,True
S002-WAT-01,Q2T008,S002,3244.969969031424,饮用水,14.0,0.027,3600.0,3600.0,12.0,0.0,0.0,True
S002-WAT-02,Q2T002,S002,1285.8063295718712,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S002-WAT-03,Q2T008,S002,3244.969969031424,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S002-WAT-04,Q2T008,S002,3244.969969031424,饮用水,14.0,0.027,3600.0,,12.0,0.0,0.0,False
S003-FOD-01,Q2T012,S003,5140.4945878801245,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S003-FOD-02,Q2T016,S003,8301.487541842454,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S003-HYG-01,Q2T016,S003,8301.487541842454,生活卫生用品,6.0,0.035,14400.0,,6.0,0.0,0.0,False
S003-MED-01,Q2T012,S003,5140.4945878801245,医疗物资,3.0,0.012,7200.0,7200.0,20.0,0.0,0.0,True
S003-WAT-01,Q2T012,S003,5140.4945878801245,饮用水,14.0,0.027,7200.0,7200.0,10.0,0.0,0.0,True
S003-WAT-02,Q2T016,S003,8301.487541842454,饮用水,14.0,0.027,7200.0,,10.0,1101.4875418424544,1.52984380811452,False
S003-WAT-03,Q2T016,S003,8301.487541842454,饮用水,14.0,0.027,7200.0,,10.0,1101.4875418424544,1.52984380811452,False
S003-WAT-04,Q2T016,S003,8301.487541842454,饮用水,14.0,0.027,7200.0,,10.0,1101.4875418424544,1.52984380811452,False
S004-FOD-01,Q2T013,S004,5452.626778056621,应急食品,8.0,0.028,10800.0,,8.0,0.0,0.0,False
S004-HYG-01,Q2T013,S004,5452.626778056621,生活卫生用品,6.0,0.035,14400.0,,6.0,0.0,0.0,False
S004-MED-01,Q2T013,S004,5452.626778056621,医疗物资,3.0,0.012,7200.0,7200.0,20.0,0.0,0.0,True
S004-WAT-01,Q2T013,S004,5452.626778056621,饮用水,14.0,0.027,7200.0,7200.0,10.0,0.0,0.0,True
S004-WAT-02,Q2T013,S004,5452.626778056621,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
S004-WAT-03,Q2T013,S004,5452.626778056621,饮用水,14.0,0.027,7200.0,,10.0,0.0,0.0,False
