iteration,operator,feasible,accepted,candidate_score,best_score,seconds,reason
1,timing_sweep,False,False,,2.56065499711505,7.358654022216797,RELAY_RESOURCE_CONFLICT
2,timing_sweep,True,True,2.3339728322665474,2.3339728322665474,1.9702064990997314,Optimization terminated successfully. (HiGHS Status 7: Optimal)
3,timing_sweep,False,False,,2.3339728322665474,22.24914836883545,RELAY_RESOURCE_CONFLICT
4,timing_sweep,False,False,,2.3339728322665474,3.6758241653442383,RELAY_RESOURCE_CONFLICT
5,timing_sweep,True,True,2.318303910145928,2.318303910145928,1.9391942024230957,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6,timing_sweep,False,False,,2.318303910145928,10.59209656715393,RELAY_RESOURCE_CONFLICT
7,timing_sweep,False,False,,2.318303910145928,3.9448413848876953,RELAY_RESOURCE_CONFLICT
8,timing_sweep,False,False,,2.318303910145928,22.87777829170227,RELAY_RESOURCE_CONFLICT
9,timing_sweep,False,False,,2.318303910145928,5.722011089324951,RELAY_RESOURCE_CONFLICT
10,release_advance,False,False,,2.318303910145928,4.316539764404297,RELAY_RESOURCE_CONFLICT
11,late_repair,False,False,,2.318303910145928,24.558707237243652,RELAY_RESOURCE_CONFLICT
12,route_split,False,False,,2.318303910145928,3.8379054069519043,RELAY_RESOURCE_CONFLICT
