from,to,distance_m,dem_max_m,cruise_alt_m,climb_m,descent_m,time_A,time_B,time_C
O01,S001,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,339.35912460285056,288.3022691647023,306.8983708492726
O01,S002,7435.278518339014,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,715.8063295718711,591.8850209328874,612.9140632912859
O01,S003,7261.075570364734,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,839.1126655316966,718.094739358951,769.3654290562166
O01,S004,7745.662441501828,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,803.6272587156471,674.5328846906167,709.562745733911
O01,S005,5302.020131150288,276.410888671875,326.410888671875,198.710888671875,131.410888671875,560.6363292885657,472.2693271027276,498.65780854804007
O01,S006,3181.0333082558936,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,365.07119121533486,312.05396941106994,333.07694263698147
O01,S007,4533.827897987505,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,571.2993198680994,495.73552156830755,537.7010507431123
O01,S008,8109.473184928188,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,798.3296090793021,663.1717226638323,689.7199447097307
O01,S009,5722.680393214659,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,557.357901827133,461.97989527355537,479.3380473324747
O01,S010,4778.439901620956,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,534.4634512744026,454.82278624738666,483.7555421881419
O01,S011,2817.1517251515784,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,323.9545977014336,277.0020689489073,296.5056948440896
O01,S012,7398.4495612874725,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,765.1381930141903,641.8307003260658,674.2208661382404
O01,S013,4848.706999909886,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,513.5455873948342,432.7338040630028,455.58077468474767
O01,S014,5410.917094369381,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,702.037842174011,611.8558906011879,666.9004552170733
O01,S015,6019.113948538092,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,688.5456163169764,588.2270505080082,627.5635930698572
S001,O01,3063.4113262888936,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,343.11245793618383,292.0556024980356,312.5283708492726
S001,S002,4375.117473108587,259.2448425292969,309.2448425292969,125.24484252929688,89.74484252929688,442.23934061386655,369.32071606205676,386.64485648360625
S001,S003,7646.669571341327,505.94439697265625,555.9443969726562,371.94439697265625,217.44439697265625,848.1816887250585,720.7371958693698,767.2779286981458
S001,S004,4947.404498840557,358.7777404785156,408.7777404785156,224.77774047851562,180.4777404785156,559.4007179209578,476.94397627361525,509.9769330200345
S001,S005,2935.4023249626043,266.13800048828125,316.13800048828125,132.13800048828125,121.13800048828125,337.1180607716233,288.1946886889132,309.1176887702934
S001,S006,5296.397004737481,343.9356384277344,393.9356384277344,209.93563842773438,79.13563842773436,542.9992185751287,454.72593516283735,476.63520823412637
S001,S007,5179.664954576293,389.17535400390625,439.17535400390625,255.17535400390625,90.67535400390625,552.967339150889,466.6395899079508,492.7188155752685
S001,S008,5983.178480879921,316.78717041015625,366.78717041015625,182.78717041015625,95.88717041015627,597.8821317074413,498.1624903594427,519.9370187611354
S001,S009,2659.3015848117507,243.22891235351562,293.2289123535156,109.22891235351562,63.228912353515625,283.3096677935573,238.9879747133615,252.59279343894744
S001,S010,3707.6530913343026,381.0796813964844,431.0796813964844,247.07968139648438,79.47968139648435,423.1228573019471,361.328639113042,385.7485860124561
S001,S011,2350.339332439606,226.38790893554688,276.3879089355469,92.38790893554688,64.28790893554688,252.37274425603488,213.2004220487081,225.78840687129923
S001,S012,4696.5197787275065,385.599609375,435.599609375,251.599609375,155.799609375,537.5630284356255,459.2876987901671,491.64096701933374
S001,S013,2894.2536667716154,328.3608093261719,378.3608093261719,194.36080932617188,26.660809326171886,316.6390657368273,268.40150462396707,284.02497284499566
S001,S014,5198.603343596632,550.0504150390625,600.0504150390625,416.0504150390625,249.0504150390625,671.5205829950319,584.877193935088,637.5189297749317
S001,S015,5494.319355865179,547.315185546875,597.315185546875,413.315185546875,122.815185546875,644.7577490564732,553.1857597920537,593.0216240498661
S002,O01,7435.278518339014,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,721.9263295718711,598.0050209328875,622.0940632912858
S002,S001,4375.117473108587,259.2448425292969,309.2448425292969,89.74484252929688,125.24484252929688,444.6060072805332,371.68738272872343,390.19485648360626
S002,S003,9766.539343287703,571.1314086914062,621.1314086914062,401.63140869140625,282.63140869140625,1060.8079783143398,898.032322592878,953.0708907081124
S002,S004,2246.1092006265976,283.658203125,333.658203125,114.158203125,105.35820312499999,267.3717823438831,229.9366290001065,248.08299618760648
S002,S005,3474.1366188660177,356.79864501953125,406.79864501953125,187.29864501953125,211.79864501953125,436.66372458649107,378.7614476053908,412.4278884419793
S002,S006,9199.764205163334,344.2987060546875,394.2987060546875,174.7987060546875,79.49870605468749,856.7127348703821,703.3833314509932,722.9864491267745
S002,S007,8119.478260573322,424.7281799316406,474.7281799316406,255.22817993164062,126.22817993164062,812.1905203309799,676.8658826547579,706.5039126433647
S002,S008,4795.75754412986,331.8424987792969,381.8424987792969,162.34249877929688,110.9424987792969,498.1376277823061,418.2083353801417,440.12541851002453
S002,S009,1730.8851051143758,278.2866516113281,328.2866516113281,108.78665161132812,98.28665161132812,219.81730327450526,190.96921818926566,208.05032679115368
S002,S010,5938.026079473053,441.85394287109375,491.85394287109375,272.35394287109375,140.25394287109373,641.7217313948898,542.754630070339,574.9369538821879
S002,S011,5790.094450192107,311.78533935546875,361.78533935546875,142.28533935546875,149.68533935546876,589.8104530433526,493.3088788734842,517.7631020993957
S002,S012,3072.0015098575946,358.1782531738281,408.1782531738281,188.67825317382812,128.3782531738281,370.24417814894014,319.0441529846469,344.4605285136183
S002,S013,4556.431620585511,327.2103271484375,377.2103271484375,157.7103271484375,25.51032714843751,442.4768749576468,366.5363479478883,379.6014024726279
S002,S014,7680.8795868986,457.5832214355469,507.5832214355469,288.0832214355469,156.58322143554688,798.7343279609511,670.7196681793077,705.5835384185655
S002,S015,7156.966114014468,593.7526245117188,643.7526245117188,424.25262451171875,169.25262451171875,805.5324341431327,686.249665576225,731.4584363281781
S003,O01,7261.075570364734,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,853.1659988650299,732.1480726922844,790.4454290562165
S003,S001,7646.669571341327,505.94439697265625,555.9443969726562,217.44439697265625,371.94439697265625,858.4816887250586,731.0371958693697,782.7279286981458
S003,S002,9766.539343287703,571.1314086914062,621.1314086914062,282.63140869140625,401.63140869140625,1068.7413116476732,905.9656559262114,964.9708907081124
S003,S004,8230.559006477002,674.2682495117188,724.2682495117188,385.76824951171875,495.96824951171874,1012.8566335150106,875.6806500737272,950.9953583256803
S003,S005,6332.691797326024,533.8880615234375,583.8880615234375,245.3880615234375,388.8880615234375,765.0755615610228,659.5306982722558,714.7787085261621
S003,S006,4808.574653986464,612.3626708984375,662.3626708984375,323.8626708984375,347.5626708984375,647.6938464910595,567.5509355912851,623.8980474076914
S003,S007,2732.8231547260502,360.6993408203125,410.6993408203125,72.1993408203125,62.1993408203125,276.68144616206666,231.1343935832992,242.16761705335128
S003,S008,6261.095242719468,746.0787353515625,796.0787353515625,457.5787353515625,525.1787353515625,884.3556761511015,780.0040887724438,863.0272113310375
S003,S009,8884.811084416204,544.588134765625,594.588134765625,256.088134765625,364.588134765625,971.598889196142,823.5187044558718,877.0500602501427
S003,S010,11208.771897972025,466.96417236328125,516.9641723632812,178.46417236328125,165.36417236328123,1059.6980512307416,872.8851862645413,901.3192149917547
S003,S011,5348.800230216275,485.42230224609375,535.4223022460938,196.92230224609375,323.3223022460937,640.703040831825,551.5563703282204,597.0167540359027
S003,S012,11798.893143755728,544.5889282226562,594.5889282226562,256.08892822265625,314.78892822265624,1194.5196426762586,997.8714236136632,1046.4229116507724
S003,S013,10540.921591246684,505.94439697265625,555.9443969726562,217.44439697265625,204.24439697265626,1032.589357050505,856.9073305297269,891.8280633585028
S003,S014,12372.492118588985,542.7295532226562,592.7295532226562,254.22955322265625,241.72955322265625,1212.47601557903,1006.267813602547,1047.3894058063229
S003,S015,2614.359861016823,437.89886474609375,487.89886474609375,149.39886474609375,13.39886474609375,273.0224892318707,229.44982488159027,240.7496356726059
S004,O01,7745.662441501828,348.2391662597656,398.2391662597656,169.9391662597656,270.53916625976564,810.3339253823139,681.2395513572834,719.622745733911
S004,S001,4947.404498840557,358.7777404785156,408.7777404785156,180.4777404785156,224.77774047851562,562.3540512542911,479.8973096069485,514.4069330200346
S004,S002,2246.1092006265976,283.658203125,333.658203125,105.35820312499999,114.158203125,267.95844901054977,230.52329566677315,248.9629961876065
S004,S003,8230.559006477002,674.2682495117188,724.2682495117188,495.96824951171874,385.76824951171875,1005.509966848344,868.3339834070605,939.9753583256803
S004,S005,2616.5136591244845,315.80657958984375,365.80657958984375,137.50657958984374,170.80657958984375,332.2009632929258,288.5924023075177,314.8401655724917
S004,S006,8731.259686318474,375.2806396484375,425.2806396484375,196.9806396484375,110.48063964843749,837.4574429353936,691.9364481634191,716.116554771492
S004,S007,7107.961679318895,543.2369995117188,593.2369995117188,364.93699951171874,244.73699951171875,811.870606251835,693.4045782631867,742.2074115151399
S004,S008,2607.410352550689,336.83349609375,386.83349609375,158.53349609375,115.93349609375002,316.5020931813074,273.0452539721293,295.2075033210876
S004,S009,2992.1220913175425,275.2157897949219,325.2157897949219,96.91578979492186,95.21578979492188,319.73508679273795,269.86638527077884,285.8490169032658
S004,S010,7564.5553516914315,432.957275390625,482.957275390625,254.657275390625,131.35727539062498,767.8082812607443,641.7323587325537,671.8452379643247
S004,S011,5422.193675424371,311.138916015625,361.138916015625,132.838916015625,149.038916015625,555.7446780301559,465.3747834397497,489.1346027756872
S004,S012,5283.746325594186,312.0069580078125,362.0069580078125,133.7069580078125,82.20695800781249,517.7639630052446,429.7015242453415,446.83601724664356
S004,S013,6210.790426025732,322.2989807128906,372.2989807128906,143.9989807128906,20.598980712890636,573.8051213582642,470.29194759116865,481.95177770998373
S004,S014,9318.325083893478,505.3861083984375,555.3861083984375,327.0861083984375,204.3861083984375,967.3102364833107,812.0048184184195,854.249169818159
S004,S015,5649.054066901832,641.2510375976562,691.2510375976562,462.95103759765624,216.75103759765625,711.7719331467672,617.6210320317367,670.1595382980128
S005,O01,5302.020131150288,276.410888671875,326.410888671875,131.410888671875,198.710888671875,565.1229959552323,476.7559937693942,505.3878085480401
S005,S001,2935.4023249626043,266.13800048828125,316.13800048828125,121.13800048828125,132.13800048828125,337.8513941049566,288.9280220222465,310.2176887702934
S005,S002,3474.1366188660177,356.79864501953125,406.79864501953125,211.79864501953125,187.29864501953125,435.03039125315775,377.1281142720575,409.9778884419793
S005,S003,6332.691797326024,533.8880615234375,583.8880615234375,388.8880615234375,245.3880615234375,755.5088948943562,649.9640316055891,700.428708526162
S005,S004,2616.5136591244845,315.80657958984375,365.80657958984375,170.80657958984375,137.50657958984374,329.9809632929258,286.3724023075177,311.5101655724917
S005,S006,6124.013698256884,366.7322998046875,416.7322998046875,221.7322998046875,101.93229980468749,625.0181613781779,522.9512664072298,547.926649708011
S005,S007,4690.984492188072,467.1478271484375,517.1478271484375,322.1478271484375,168.6478271484375,565.7571142578602,487.57403938805896,525.9153439127986
S005,S008,3047.778454649959,316.78717041015625,366.78717041015625,171.78717041015625,95.88717041015627,349.5987961882778,298.8024886107785,319.8436836791379
S005,S009,2645.6202183536057,313.5632019042969,363.5632019042969,168.56320190429688,133.56320190429688,330.08136625928483,285.98769595339144,310.5815629374409
S005,S010,6365.837412618157,416.15325927734375,466.15325927734375,271.15325927734375,114.55325927734373,666.6921745215652,560.5948843112626,590.1270941908199
S005,S011,2812.761820122839,297.5489196777344,347.5489196777344,152.54891967773438,135.44891967773438,339.42602610724174,292.5466624385278,316.2614823848169
S005,S012,5613.480349223458,313.5632019042969,363.5632019042969,168.56320190429688,83.76320190429686,557.4830438317725,463.9250380113815,483.53890499543104
S005,S013,5214.414421036384,324.4444580078125,374.4444580078125,179.4444580078125,22.74445800781251,503.44713762542784,416.5402306081548,430.7776402761235
S005,S014,8005.233227834843,552.8875122070312,602.8875122070312,407.88751220703125,251.88751220703125,903.8202779380598,770.3997241408124,822.7809761753176
S005,S015,3749.6324822589095,568.6133422851562,618.6133422851562,423.61334228515625,144.11334228515625,511.3191578640237,448.8252831597086,491.47750687390123
