资源类别,资源编号,架次,开始_s,结束_s
运输无人机,U02,Q3T001,0.0,2110.4163860283807
共享电池任务,BAT-A02,Q3T001,0.0,2110.4163860283807
共享电池充电,BAT-A02,Q3T001,2110.4163860283807,3465.8354531674904
运输无人机,U03,Q3T002,0.0,1988.9623510146887
共享电池任务,BAT-A03,Q3T002,0.0,1988.9623510146887
共享电池充电,BAT-A03,Q3T002,1988.9623510146887,3149.840017751243
运输无人机,U04,Q3T003,0.0,1727.3186397361987
共享电池任务,BAT-A04,Q3T003,0.0,1727.3186397361987
共享电池充电,BAT-A04,Q3T003,1727.3186397361987,2777.6811112424552
运输无人机,U07,Q3T004,0.0,1847.0081265825715
共享电池任务,BAT-C01,Q3T004,0.0,1847.0081265825715
共享电池充电,BAT-C01,Q3T004,1847.0081265825715,3976.611012147097
运输无人机,U08,Q3T005,0.0,1601.9010843762837
共享电池任务,BAT-C02,Q3T005,0.0,1601.9010843762837
共享电池充电,BAT-C02,Q3T005,1601.9010843762837,3287.2650679144144
运输无人机,U08,Q3T006,1601.9010843762837,3147.4626337457794
共享电池任务,BAT-C03,Q3T006,1601.9010843762837,3147.4626337457794
共享电池充电,BAT-C03,Q3T006,3147.4626337457794,4838.997528751315
运输无人机,U04,Q3T007,1727.3186397361987,3039.790222275233
共享电池任务,BAT-A05,Q3T007,1727.3186397361987,3039.790222275233
共享电池充电,BAT-A05,Q3T007,3039.790222275233,3906.1085340582868
运输无人机,U07,Q3T008,1847.0081265825715,3143.8720118565343
共享电池任务,BAT-C04,Q3T008,1847.0081265825715,3143.8720118565343
共享电池充电,BAT-C04,Q3T008,3143.8720118565343,4547.0492529600815
运输无人机,U03,Q3T009,1988.9623510146887,3959.1735836486414
共享电池任务,BAT-A06,Q3T009,1988.9623510146887,3959.1735836486414
共享电池充电,BAT-A06,Q3T009,3959.1735836486414,5174.387848531347
运输无人机,U02,Q3T010,2777.6811112424552,4473.440436486253
共享电池任务,BAT-A04,Q3T010,2777.6811112424552,4473.440436486253
共享电池充电,BAT-A04,Q3T010,4473.440436486253,5588.635570707964
运输无人机,U04,Q3T011,3149.840017751243,4841.375821405509
共享电池任务,BAT-A03,Q3T011,3149.840017751243,4841.375821405509
共享电池充电,BAT-A03,Q3T011,4841.375821405509,5994.707967282542
运输无人机,U07,Q3T012,3287.2650679144144,4500.716457602593
共享电池任务,BAT-C02,Q3T012,3287.2650679144144,4500.716457602593
共享电池充电,BAT-C02,Q3T012,4500.716457602593,5837.54763190614
运输无人机,U01,Q3T013,4846.515746850587,7030.476930948547
共享电池任务,BAT-A01,Q3T013,4846.515746850587,7030.476930948547
共享电池充电,BAT-A01,Q3T013,7030.476930948547,8425.642845610193
运输无人机,U05,Q3T014,5211.798601021474,7232.041413072709
共享电池任务,BAT-B01,Q3T014,5211.798601021474,7232.041413072709
共享电池充电,BAT-B01,Q3T014,7232.041413072709,8980.44203244537
运输无人机,U06,Q3T015,5248.503351828629,7154.39346382296
共享电池任务,BAT-B02,Q3T015,5248.503351828629,7154.39346382296
共享电池充电,BAT-B02,Q3T015,7154.39346382296,8981.249581190657
运输无人机,U07,Q3T016,6279.65577813808,8693.43519095887
共享电池任务,BAT-C04,Q3T016,6279.65577813808,8693.43519095887
共享电池充电,BAT-C04,Q3T016,8693.43519095887,10688.143757307414
运输无人机,U05,Q3T017,7490.433273837694,9545.836619838092
共享电池任务,BAT-B04,Q3T017,7490.433273837694,9545.836619838092
共享电池充电,BAT-B04,Q3T017,9545.836619838092,11107.080562557912
运输无人机,U07,Q3T018,8693.43519095887,10804.443317541442
共享电池任务,BAT-C03,Q3T018,8693.43519095887,10804.443317541442
共享电池充电,BAT-C03,Q3T018,10804.443317541442,13296.638368131371
运输无人机,U07,Q3T019,10804.443317541442,13061.347435920457
共享电池任务,BAT-C02,Q3T019,10804.443317541442,13061.347435920457
共享电池充电,BAT-C02,Q3T019,13061.347435920457,15056.69641456718
运输无人机,U06,Q3T020,11513.982507118077,13621.878909557232
共享电池任务,BAT-B03,Q3T020,11513.982507118077,13621.878909557232
共享电池充电,BAT-B03,Q3T020,13621.878909557232,15418.933589834574
运输无人机,U07,Q3T021,13061.347435920457,14490.774177619003
共享电池任务,BAT-C04,Q3T021,13061.347435920457,14490.774177619003
共享电池充电,BAT-C04,Q3T021,14490.774177619003,16063.071981174873
运输无人机,U08,Q3T022,13300.400944004045,15736.211802116479
共享电池任务,BAT-C01,Q3T022,13300.400944004045,15736.211802116479
共享电池充电,BAT-C01,Q3T022,15736.211802116479,18234.56827751892
运输无人机,U07,Q3T023,14490.774177619003,16663.959669086824
共享电池任务,BAT-C03,Q3T023,14490.774177619003,16663.959669086824
共享电池充电,BAT-C03,Q3T023,16663.959669086824,18997.712734393135
运输无人机,U08,Q3T024,15736.211802116479,18568.541954547512
共享电池任务,BAT-C02,Q3T024,15736.211802116479,18568.541954547512
共享电池充电,BAT-C02,Q3T024,18568.541954547512,21113.01025348102
运输无人机,U07,Q3T025,16663.959669086824,18773.82465486377
