运输架次,无人机,机型,电池,准备开始_s,起飞_s,路线,返回O01_s,能耗_kWh,返航SOC,充满_s,货箱清单
Q3T001,U02,A,BAT-A02,0.0,360.0,O01→S012→O01,2110.4163860283807,2.9610660016353805,0.3419853329699154,3465.8354531674904,S012-MED-01|S012-WAT-01
Q3T002,U03,A,BAT-A03,0.0,360.0,O01→S014→O01,1988.9623510146887,2.28765346178038,0.4916325640488045,3149.840017751243,S014-MED-01|S014-WAT-01
Q3T003,U04,A,BAT-A04,0.0,360.0,O01→S007→O01,1727.3186397361987,1.9051008629062727,0.576644252687495,2777.6811112424552,S007-MED-01|S007-WAT-01
Q3T004,U07,C,BAT-C01,0.0,360.0,O01→S002→O01,1847.0081265825715,4.786226039007479,0.4017217451240651,3976.611012147097,S002-MED-01|S002-WAT-01
Q3T005,U08,C,BAT-C02,0.0,360.0,O01→S010→O01,1601.9010843762837,3.1459593238330985,0.6067550845208627,3287.2650679144144,S010-MED-01|S010-WAT-01
Q3T006,U08,C,BAT-C03,1601.9010843762837,1961.9010843762837,O01→S013→O01,3147.4626337457794,3.1687442277127476,0.6039069715359066,4838.997528751315,S013-MED-01|S013-WAT-01
Q3T007,U04,A,BAT-A05,1727.3186397361987,2117.3186397361987,O01→S001→O01,3039.790222275233,1.2680249254028784,0.7182166832438048,3906.1085340582868,S001-MED-01|S001-MED-02|S001-WAT-01
Q3T008,U07,C,BAT-C04,1847.0081265825715,2207.0081265825715,O01→S006→O01,3143.8720118565343,2.1040390440746366,0.7369951194906704,4547.0492529600815,S006-MED-01|S006-WAT-01
Q3T009,U03,A,BAT-A06,1988.9623510146887,2348.9623510146885,O01→S015→O01,3959.1735836486414,2.475741686132445,0.44983518085945673,5174.387848531347,S015-MED-01|S015-WAT-01
Q3T010,U02,A,BAT-A04,2777.6811112424552,3137.6811112424552,O01→S005→O01,4473.440436486253,2.1295216184597683,0.526772973675607,5588.635570707964,S005-MED-01|S005-WAT-01
Q3T011,U04,A,BAT-A03,3149.840017751243,3509.840017751243,O01→S009→O01,4841.375821405509,2.261534351112808,0.4974368108638205,5994.707967282542,S009-MED-01|S009-WAT-01
Q3T012,U07,C,BAT-C02,3287.2650679144144,3647.2650679144144,O01→S011→O01,4500.716457602593,1.8590689512746326,0.7676163810906709,5837.54763190614,S011-MED-01|S011-WAT-01
Q3T013,U01,A,BAT-A01,4846.515746850587,5206.515746850587,O01→S004→O01,7030.476930948547,3.098651243059546,0.31141083487565646,8425.642845610193,S004-MED-01|S004-WAT-01
Q3T014,U05,B,BAT-B01,5211.798601021474,5571.798601021474,O01→S003→O01,7232.041413072709,2.4963091216292184,0.3759227195926954,8980.44203244537,S003-MED-01|S003-WAT-01
Q3T015,U06,B,BAT-B02,5248.503351828629,5608.503351828629,O01→S008→O01,7154.39346382296,2.67736027084853,0.3306599322878675,8981.249581190657,S008-MED-01|S008-WAT-01
Q3T016,U07,C,BAT-C04,6279.65577813808,6789.65577813808,O01→S006→S007→O01,8693.43519095887,4.2881547065177,0.4639806616852875,10688.143757307414,S006-FOD-01|S006-HYG-01|S006-WAT-02|S006-WAT-03|S007-FOD-01|S007-HYG-01|S007-WAT-02
Q3T017,U05,B,BAT-B04,7490.433273837694,7850.433273837694,O01→S010→S014→O01,9545.836619838092,2.0644090985842025,0.48389772535394937,11107.080562557912,S010-FOD-01|S014-FOD-01
Q3T018,U07,C,BAT-C03,8693.43519095887,9173.43519095887,O01→S002→O01,10804.443317541442,6.125027879101275,0.23437151511234067,13296.638368131371,S002-FOD-01|S002-FOD-02|S002-HYG-01|S002-WAT-02|S002-WAT-03|S002-WAT-04
Q3T019,U07,C,BAT-C02,10804.443317541442,11344.443317541442,O01→S001→S013→O01,13061.347435920457,4.290519305772517,0.46368508677843534,15056.69641456718,S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02|S001-WAT-07|S001-WAT-08|S013-FOD-01
Q3T020,U06,B,BAT-B03,11513.982507118077,11873.982507118077,O01→S009→S012→O01,13621.878909557232,2.608587723716947,0.3478530690707633,15418.933589834574,S009-FOD-01|S012-FOD-01
Q3T021,U07,C,BAT-C04,13061.347435920457,13511.347435920457,O01→S001→O01,14490.774177619003,2.7284841977447503,0.6589394752819062,16063.071981174873,S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-06
Q3T022,U08,C,BAT-C01,13300.400944004045,13780.400944004045,O01→S003→O01,15736.211802116479,6.147777755332084,0.23152778058348955,18234.56827751892,S003-FOD-01|S003-FOD-02|S003-HYG-01|S003-WAT-02|S003-WAT-03|S003-WAT-04
Q3T023,U07,C,BAT-C03,14490.774177619003,14910.774177619003,O01→S004→O01,16663.959669086824,5.54001131805407,0.30749858524324125,18997.712734393135,S004-FOD-01|S004-HYG-01|S004-WAT-02|S004-WAT-03
Q3T024,U08,C,BAT-C02,15736.211802116479,16156.211802116479,O01→S008→S015→O01,18568.541954547512,6.318036796062188,0.2102454004922265,21113.01025348102,S008-FOD-01|S008-HYG-01|S008-WAT-02|S015-FOD-01
Q3T025,U07,C,BAT-C04,16663.959669086824,17113.959669086824,O01→S011→S005→O01,18773.82465486377,4.069045391342822,0.49136932608214723,20709.191115019115,S011-FOD-01|S005-FOD-01|S005-HYG-01|S005-WAT-02|S005-WAT-03
