货箱,服务区,物资类型,运输架次,交付完成_s,期望_s,硬截止_s,首批,优先系数,迟到_s,按期望送达
S001-FOD-01,S001,应急食品,Q3T019,12083.341688390714,7200.0,,False,10.0,4883.341688390714,False
S001-FOD-02,S001,应急食品,Q3T019,12083.341688390714,7200.0,,False,10.0,4883.341688390714,False
S001-FOD-03,S001,应急食品,Q3T019,12083.341688390714,7200.0,,False,10.0,4883.341688390714,False
S001-HYG-01,S001,生活卫生用品,Q3T019,12083.341688390714,10800.0,,False,8.0,1283.341688390714,False
S001-HYG-02,S001,生活卫生用品,Q3T019,12083.341688390714,10800.0,,False,8.0,1283.341688390714,False
S001-MED-01,S001,医疗物资,Q3T007,2696.677764339049,3600.0,3600.0,True,24.0,0.0,True
S001-MED-02,S001,医疗物资,Q3T007,2696.677764339049,3600.0,3600.0,False,24.0,0.0,True
S001-WAT-01,S001,饮用水,Q3T007,2696.677764339049,3600.0,3600.0,True,12.0,0.0,True
S001-WAT-02,S001,饮用水,Q3T021,14178.24580676973,3600.0,,False,12.0,10578.24580676973,False
S001-WAT-03,S001,饮用水,Q3T021,14178.24580676973,3600.0,,False,12.0,10578.24580676973,False
S001-WAT-04,S001,饮用水,Q3T021,14178.24580676973,3600.0,,False,12.0,10578.24580676973,False
S001-WAT-05,S001,饮用水,Q3T021,14178.24580676973,3600.0,,False,12.0,10578.24580676973,False
S001-WAT-06,S001,饮用水,Q3T021,14178.24580676973,3600.0,,False,12.0,10578.24580676973,False
S001-WAT-07,S001,饮用水,Q3T019,12083.341688390714,3600.0,,False,12.0,8483.341688390714,False
S001-WAT-08,S001,饮用水,Q3T019,12083.341688390714,3600.0,,False,12.0,8483.341688390714,False
S002-FOD-01,S002,应急食品,Q3T018,10182.349254250155,7200.0,,False,10.0,2982.3492542501554,False
S002-FOD-02,S002,应急食品,Q3T018,10182.349254250155,7200.0,,False,10.0,2982.3492542501554,False
S002-HYG-01,S002,生活卫生用品,Q3T018,10182.349254250155,10800.0,,False,8.0,0.0,True
S002-MED-01,S002,医疗物资,Q3T004,1224.9140632912859,3600.0,3600.0,True,24.0,0.0,True
S002-WAT-01,S002,饮用水,Q3T004,1224.9140632912859,3600.0,3600.0,True,12.0,0.0,True
S002-WAT-02,S002,饮用水,Q3T018,10182.349254250155,3600.0,,False,12.0,6582.349254250155,False
S002-WAT-03,S002,饮用水,Q3T018,10182.349254250155,3600.0,,False,12.0,6582.349254250155,False
S002-WAT-04,S002,饮用水,Q3T018,10182.349254250155,3600.0,,False,12.0,6582.349254250155,False
S003-FOD-01,S003,应急食品,Q3T022,14945.766373060262,10800.0,,False,8.0,4145.766373060262,False
S003-FOD-02,S003,应急食品,Q3T022,14945.766373060262,10800.0,,False,8.0,4145.766373060262,False
S003-HYG-01,S003,生活卫生用品,Q3T022,14945.766373060262,14400.0,,False,6.0,545.7663730602617,False
S003-MED-01,S003,医疗物资,Q3T014,6499.893340380424,7200.0,7200.0,True,20.0,0.0,True
S003-WAT-01,S003,饮用水,Q3T014,6499.893340380424,7200.0,7200.0,True,10.0,0.0,True
S003-WAT-02,S003,饮用水,Q3T022,14945.766373060262,7200.0,,False,10.0,7745.766373060262,False
S003-WAT-03,S003,饮用水,Q3T022,14945.766373060262,7200.0,,False,10.0,7745.766373060262,False
S003-WAT-04,S003,饮用水,Q3T022,14945.766373060262,7200.0,,False,10.0,7745.766373060262,False
S004-FOD-01,S004,应急食品,Q3T023,15944.336923352914,10800.0,,False,8.0,5144.336923352914,False
S004-HYG-01,S004,生活卫生用品,Q3T023,15944.336923352914,14400.0,,False,6.0,1544.3369233529138,False
S004-MED-01,S004,医疗物资,Q3T013,6220.143005566234,7200.0,7200.0,True,20.0,0.0,True
S004-WAT-01,S004,饮用水,Q3T013,6220.143005566234,7200.0,7200.0,True,10.0,0.0,True
S004-WAT-02,S004,饮用水,Q3T023,15944.336923352914,7200.0,,False,10.0,8744.336923352914,False
S004-WAT-03,S004,饮用水,Q3T023,15944.336923352914,7200.0,,False,10.0,8744.336923352914,False
S005-FOD-01,S005,应急食品,Q3T025,18268.43684631573,14400.0,,False,6.0,3868.43684631573,False
S005-HYG-01,S005,生活卫生用品,Q3T025,18268.43684631573,18000.0,,False,4.0,268.4368463157298,False
S005-MED-01,S005,医疗物资,Q3T010,3908.317440531021,10800.0,10800.0,True,16.0,0.0,True
S005-WAT-01,S005,饮用水,Q3T010,3908.317440531021,10800.0,10800.0,True,8.0,0.0,True
S005-WAT-02,S005,饮用水,Q3T025,18268.43684631573,10800.0,,False,8.0,7468.43684631573,False
