box_id,service_id,material,sortie_id,model_id,delivery_time,expected_time,hard_deadline,is_first_batch,mass,volume,priority
S001-WAT-01,S001,饮用水,S001,C,940.7503885549252,3600.0,3600.0,True,14.0,0.027,12.0
S001-WAT-02,S001,饮用水,S001,C,976.7503885549252,3600.0,inf,False,14.0,0.027,12.0
S001-WAT-03,S001,饮用水,S001,C,1012.7503885549252,3600.0,inf,False,14.0,0.027,12.0
S001-WAT-04,S001,饮用水,S001,C,1048.7503885549252,3600.0,inf,False,14.0,0.027,12.0
S001-WAT-05,S001,饮用水,S001,C,1084.7503885549252,3600.0,inf,False,14.0,0.027,12.0
S001-FOD-01,S001,应急食品,S001,C,1120.7503885549252,7200.0,inf,False,8.0,0.028,10.0
S001-WAT-06,S001,饮用水,S002,C,1030.7503885549252,3600.0,inf,False,14.0,0.027,12.0
S001-WAT-07,S001,饮用水,S002,C,1066.7503885549252,3600.0,inf,False,14.0,0.027,12.0
S001-WAT-08,S001,饮用水,S002,C,1102.7503885549252,3600.0,inf,False,14.0,0.027,12.0
S001-FOD-02,S001,应急食品,S002,C,1138.7503885549252,7200.0,inf,False,8.0,0.028,10.0
S001-FOD-03,S001,应急食品,S002,C,1174.7503885549252,7200.0,inf,False,8.0,0.028,10.0
S001-HYG-01,S001,生活卫生用品,S002,C,1210.7503885549252,10800.0,inf,False,6.0,0.035,8.0
S001-HYG-02,S001,生活卫生用品,S002,C,1246.7503885549252,10800.0,inf,False,6.0,0.035,8.0
S001-MED-01,S001,医疗物资,S002,C,1282.7503885549252,3600.0,3600.0,True,3.0,0.012,24.0
S001-MED-02,S001,医疗物资,S002,C,1318.7503885549252,3600.0,3600.0,False,3.0,0.012,24.0
S002-WAT-01,S002,饮用水,S004,B,1080.9677399471302,3600.0,3600.0,True,14.0,0.027,12.0
S002-WAT-02,S002,饮用水,S004,B,1110.9677399471302,3600.0,inf,False,14.0,0.027,12.0
S002-WAT-03,S002,饮用水,S005,B,1080.9677399471302,3600.0,inf,False,14.0,0.027,12.0
S002-WAT-04,S002,饮用水,S005,B,1110.9677399471302,3600.0,inf,False,14.0,0.027,12.0
S002-FOD-01,S002,应急食品,S006,B,1110.9677399471302,7200.0,inf,False,8.0,0.028,10.0
S002-FOD-02,S002,应急食品,S006,B,1140.9677399471302,7200.0,inf,False,8.0,0.028,10.0
S002-MED-01,S002,医疗物资,S006,B,1170.9677399471302,3600.0,3600.0,True,3.0,0.012,24.0
S002-HYG-01,S002,生活卫生用品,S007,B,1050.9677399471302,10800.0,inf,False,6.0,0.035,8.0
S003-WAT-01,S003,饮用水,S009,B,1109.0478960880448,7200.0,7200.0,True,14.0,0.027,10.0
S003-WAT-02,S003,饮用水,S009,B,1139.0478960880448,7200.0,inf,False,14.0,0.027,10.0
S003-WAT-03,S003,饮用水,S010,B,1109.0478960880448,7200.0,inf,False,14.0,0.027,10.0
S003-WAT-04,S003,饮用水,S010,B,1139.0478960880448,7200.0,inf,False,14.0,0.027,10.0
S003-FOD-01,S003,应急食品,S011,B,1139.0478960880448,10800.0,inf,False,8.0,0.028,8.0
S003-FOD-02,S003,应急食品,S011,B,1169.0478960880448,10800.0,inf,False,8.0,0.028,8.0
S003-MED-01,S003,医疗物资,S011,B,1199.0478960880448,7200.0,7200.0,True,3.0,0.012,20.0
S003-HYG-01,S003,生活卫生用品,S012,B,1079.0478960880448,14400.0,inf,False,6.0,0.035,6.0
S004-WAT-01,S004,饮用水,S013,C,1270.6180251555093,7200.0,7200.0,True,14.0,0.027,10.0
S004-WAT-02,S004,饮用水,S013,C,1306.6180251555093,7200.0,inf,False,14.0,0.027,10.0
S004-WAT-03,S004,饮用水,S013,C,1342.6180251555093,7200.0,inf,False,14.0,0.027,10.0
