架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
S011,U07,C,BAT-C-03,7451.5,O01->S001->S012->O01,9919.7,5.5634
S011,U07,C,BAT-C-03,7451.5,O01->S005->S008->O01,9919.7,6.3781
S012,U07,C,BAT-C-02,10192.72,O01->S004->O01,12607.47,6.064
S012,U07,C,BAT-C-02,10192.72,O01->S006->S007->O01,12607.47,4.5463
S012,U07,C,BAT-C-02,10192.72,O01->S011->S005->S009->O01,12607.47,5.6092
S013,U08,C,BAT-C-04,12170.26,O01->S001->S002->S005->O01,13475.39,6.3398
S013,U08,C,BAT-C-04,12170.26,O01->S001->S009->S002->O01,13475.39,5.8561
S013,U08,C,BAT-C-04,12170.26,O01->S001->O01,13475.39,2.6736
S013,U08,C,BAT-C-04,12170.26,O01->S013->S010->S014->O01,13475.39,5.9157
S013,U08,C,BAT-C-04,12170.26,O01->S015->S003->O01,13475.39,6.2773
S013,U08,C,BAT-C-04,12170.26,O01->S006->S003->S007->O01,13475.39,6.2298
