货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-WAT-07,S013,S001,910.75
S001-WAT-04,S013,S001,940.75
S001-WAT-05,S013,S001,946.75
S011-WAT-01,S012,S011,965.57
S001-WAT-06,S013,S001,970.75
S001-WAT-01,S013,S001,976.75
S001-WAT-08,S013,S001,982.75
S011-MED-01,S012,S011,1001.57
S001-WAT-02,S013,S001,1018.75
S006-WAT-03,S013,S006,1030.91
S011-FOD-01,S012,S011,1037.57
S001-WAT-03,S013,S001,1054.75
S001-FOD-03,S011,S001,1060.75
S006-WAT-02,S012,S006,1060.91
S006-MED-01,S013,S006,1066.91
S001-FOD-01,S011,S001,1096.75
S006-WAT-01,S012,S006,1096.91
S001-FOD-02,S011,S001,1132.75
S006-HYG-01,S012,S006,1132.91
S005-FOD-01,S011,S005,1154.39
S001-HYG-02,S011,S001,1168.75
S006-FOD-01,S012,S006,1168.91
S005-MED-01,S011,S005,1190.39
S001-HYG-01,S011,S001,1204.75
S013-FOD-01,S013,S013,1216.87
S005-HYG-01,S011,S005,1226.39
S001-MED-01,S011,S001,1240.75
S013-WAT-01,S013,S013,1252.87
S004-WAT-01,S012,S004,1270.62
S001-MED-02,S011,S001,1276.75
S015-WAT-01,S013,S015,1284.02
S013-MED-01,S013,S013,1288.87
S004-WAT-03,S012,S004,1306.62
S015-FOD-01,S013,S015,1320.02
S004-WAT-02,S012,S004,1342.62
S015-MED-01,S013,S015,1356.02
S004-FOD-01,S012,S004,1378.62
S009-MED-01,S013,S009,1400.45
S004-MED-01,S012,S004,1414.62
S004-HYG-01,S012,S004,1450.62
S005-WAT-01,S012,S005,1467.64
S005-WAT-03,S012,S005,1503.64
S002-WAT-02,S013,S002,1516.64
S002-WAT-01,S013,S002,1552.64
S007-HYG-01,S012,S007,1584.15
S002-MED-01,S013,S002,1588.64
S010-FOD-01,S013,S010,1615.14
S007-WAT-01,S012,S007,1620.15
S003-MED-01,S013,S003,1630.98
S010-WAT-01,S013,S010,1651.14
S007-WAT-02,S012,S007,1656.15
S003-WAT-01,S013,S003,1666.98
S010-MED-01,S013,S010,1687.14
S007-MED-01,S012,S007,1692.15
S008-WAT-01,S011,S008,1693.96
S003-WAT-03,S013,S003,1702.98
S008-FOD-01,S011,S008,1729.96
S003-WAT-04,S013,S003,1738.98
S002-WAT-04,S013,S002,1755.09
S008-WAT-02,S011,S008,1765.96
S002-FOD-01,S013,S002,1791.09
S008-MED-01,S011,S008,1801.96
S002-HYG-01,S013,S002,1827.09
S003-FOD-01,S013,S003,1832.35
S008-HYG-01,S011,S008,1837.96
S012-WAT-01,S011,S012,1862.23
S002-FOD-02,S013,S002,1863.09
S003-FOD-02,S013,S003,1868.35
S012-FOD-01,S011,S012,1898.23
S002-WAT-03,S013,S002,1899.09
S003-HYG-01,S013,S003,1904.35
S009-WAT-01,S012,S009,1928.08
S012-MED-01,S011,S012,1934.23
S003-WAT-02,S013,S003,1940.35
S009-FOD-01,S012,S009,1964.08
S014-FOD-01,S013,S014,2038.67
S005-WAT-02,S013,S005,2066.57
S014-WAT-01,S013,S014,2074.67
S014-MED-01,S013,S014,2110.67
S007-FOD-01,S013,S007,2159.19
